ID_kit_api_20E,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,ID_strains,ID_reference,manual_annotation,created_20E,modify_in_pgsql_20E,ID_tbl_api_20E,last_change
72,-,+,+,+,+,-,+,-,-,+,-,,,,,,,,,,,,,,,,,16950,18490,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
73,-,-,-,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,10655,18491,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
74,-,-,-,-,+,-,+,-,-,-,-,,,,,,,,,,,,,,,,,10717,18492,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
75,-,-,-,-,-,-,-,-,-,+,+,,,,,,,,,,,,,,,,,17006,18494,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
76,+,-,-,-,-,-,-,-,-,+,-,,,,,,,,,,,,,,,,,16546,18495,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
77,-,-,-,-,-,-,-,-,-,+,-,,,,,,,,,,,,,,,,,13362,18496,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
78,-,-,-,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,10669,18497,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
79,-,-,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,6273,18498,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
80,-,-,-,-,+,-,-,-,-,-,-,,,,,,,,,,,,,,,,,6275,18499,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
81,-,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,7252,18500,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
82,-,-,-,-,+,-,-,-,-,-,-,,,,,,,,,,,,,,,,,12613,18503,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
83,+,-,-,-,+,-,-,-,-,-,-,,,,,,,,,,,,,,,,,7490,18504,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
84,+,+,+,+,+,-,+,-,-,-,-,,,,,,,,,,,,,,,,,7491,18505,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
85,+,-,-,-,-,-,+,-,-,+,+,,,,,,,,,,,,,,,,,15036,18525,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
86,-,-,-,-,-,-,-,+,-,+,-,,,,,,,,,,,,,,,,,15387,18526,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
87,-,+,+,+,+,-,+,-,-,-,+,,,,,,,,,,,,,,,,,15493,18527,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
88,+,-,-,-,+,+,-,+,-,-,+,,,,,,,,,,,,,,,,,15062,18528,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
89,+,+,+,+,+,+,+,-,-,+,+,,,,,,,,,,,,,,,,,15077,18529,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
90,+,-,-,-,-,+,+,-,-,+,+,,,,,,,,,,,,,,,,,15211,18530,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
91,+,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,15483,18531,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
92,-,-,-,-,-,-,-,+,-,-,-,,,,,,,,,,,,,,,,,15509,18532,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
93,-,-,-,-,+,+,+,-,-,+,+,,,,,,,,,,,,,,,,,16037,18533,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
94,-,+,+,-,-,+,-,-,-,-,-,,,,,,,,,,,,,,,,,16136,18534,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
95,+,+,+,+,+,-,+,-,-,+,-,,,,,,,,,,,,,,,,,15042,18535,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
96,+,-,+,+,-,-,+,-,-,-,+,,,,,,,,,,,,,,,,,15428,18536,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
97,-,-,-,-,-,-,-,-,-,+,-,,,,,,,,,,,,,,,,,16128,18537,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
98,-,-,-,-,-,-,+,-,-,-,+,,,,,,,,,,,,,,,,,15140,18538,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
99,+,-,-,-,-,-,-,-,-,+,+,,,,,,,,,,,,,,,,,15134,18539,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
100,-,+,-,-,-,-,+,-,-,+,+,,,,,,,,,,,,,,,,,15143,18540,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
101,+,+,+,+,+,-,+,-,-,-,+,,,,,,,,,,,,,,,,,15234,18541,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
102,+,+,+,+,+,-,+,+,-,+,+,,,,,,,,,,,,,,,,,15005,18542,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
103,+,+,+,+,+,-,+,-,-,+,-,,,,,,,,,,,,,,,,,15066,18543,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
104,+,+,+,+,+,-,-,-,-,-,+,,,,,,,,,,,,,,,,,15104,18544,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
105,+,-,-,-,+,+,-,-,-,-,+,,,,,,,,,,,,,,,,,15105,18545,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
106,-,-,-,-,+,+,+,-,-,+,+,,,,,,,,,,,,,,,,,15113,18546,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
107,+,-,-,-,+,-,+,-,-,-,+,,,,,,,,,,,,,,,,,15120,18547,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
108,+,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,15160,18548,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
109,-,+,+,+,+,-,+,-,-,-,+,,,,,,,,,,,,,,,,,15162,18549,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
110,-,-,-,-,-,-,-,+,+,-,+,,,,,,,,,,,,,,,,,15342,18550,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
111,+,+,+,+,+,-,+,+,-,-,+,,,,,,,,,,,,,,,,,15379,18551,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
112,+,+,+,+,+,+,+,-,-,+,+,,,,,,,,,,,,,,,,,15048,18552,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
113,+,-,-,-,-,-,+,-,-,-,+,,,,,,,,,,,,,,,,,15133,18553,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
114,,+,+,+,+,-,+,-,-,-,+,,,,,,,,,,,,,,,,,15254,18554,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
115,+,+,+,+,+,-,+,-,-,-,+,,,,,,,,,,,,,,,,,15266,18555,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
116,+,+,+,+,-,+,+,+,-,+,+,,,,,,,,,,,,,,,,,16034,18556,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
117,+,+,+,+,+,-,-,-,-,+,+,,,,,,,,,,,,,,,,,15119,18557,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
118,+,+,-,-,+,-,+,+,-,-,+,,,,,,,,,,,,,,,,,15343,18559,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
119,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,15152,18560,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
120,-,-,-,-,-,-,-,+,-,-,-,,,,,,,,,,,,,,,,,14971,18561,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
121,+,+,+,+,+,-,+,-,-,-,+,,,,,,,,,,,,,,,,,14883,18562,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
122,+,-,-,-,+,+,-,-,-,-,+,,,,,,,,,,,,,,,,,16067,18563,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
123,+,+,+,+,+,-,+,+,-,,+,,,,,,,,,,,,,,,,,15553,18564,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
124,-,-,-,-,+,-,-,-,-,-,+,,,,,,,,,,,,,,,,,14892,18565,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
125,-,-,-,+,-,-,+,-,-,+,+,,,,,,,,,,,,,,,,,16926,18567,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
126,-,-,-,-,-,-,+,-,-,+,+,,,,,,,,,,,,,,,,,16170,18568,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
127,-,-,-,-,+,-,-,-,-,+,+,,,,,,,,,,,,,,,,,14889,18461,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
128,+,+,-,+,-,-,+,+,-,-,+,,,,,,,,,,,,,,,,,16125,18569,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
129,+,+,+,+,+,-,+,-,-,-,+,,,,,,,,,,,,,,,,,16073,18570,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
130,-,-,-,-,-,-,+,+,-,+,+,,,,,,,,,,,,,,,,,15070,18571,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
131,+,-,+,-,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,16058,18573,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
132,+,+,+,-,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,15055,18574,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
133,+,+,+,+,-,-,+,-,-,+,-,,,,,,,,,,,,,,,,,15307,18575,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
134,+,+,-,-,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,14933,18576,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
135,-,-,-,-,-,-,+,-,-,+,+,,,,,,,,,,,,,,,,,16218,18577,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
136,+,-,-,-,+,+,-,+,+,+,+,,,,,,,,,,,,,,,,,15276,18578,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
137,-,-,-,-,-,-,+,-,-,+,-,,,,,,,,,,,,,,,,,15498,18579,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
138,+,-,-,-,-,-,-,-,-,+,+,,,,,,,,,,,,,,,,,15411,18580,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
139,+,-,-,-,+,+,+,-,-,+,+,,,,,,,,,,,,,,,,,15386,18581,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
