ID_met_production,metabolite_prod,production,excreted,chebi_ID,FK_metabolites,ID_strains,ID_reference,manual_annotation,last_change
10505,Indole,1,,35581.0,12338.0,280,23260,1,2017-02-10 10:00:50
10506,Hydrogen sulfide,0,,16136.0,10249.0,283,23261,1,2017-02-10 10:00:50
10507,Acetoin,0,,15688.0,12339.0,283,23261,1,2017-02-10 10:00:50
10508,Indole,1,,35581.0,12340.0,283,23261,1,2017-02-10 10:00:50
10509,Hydrogen sulfide,0,,16136.0,10250.0,285,23262,1,2017-02-10 10:00:50
10510,Acetoin,0,,15688.0,12341.0,285,23262,1,2017-02-10 10:00:50
10511,Indole,1,,35581.0,12342.0,285,23262,1,2017-02-10 10:00:50
10512,Hydrogen sulfide,0,,16136.0,10251.0,286,23262,1,2017-02-10 10:00:50
10513,Acetoin,0,,15688.0,12343.0,286,23262,1,2017-02-10 10:00:50
10514,Indole,1,,35581.0,12344.0,286,23262,1,2017-02-10 10:00:50
10515,Indole,0,,35581.0,12346.0,288,23263,1,2017-02-10 10:00:50
10516,Hydrogen sulfide,0,,16136.0,10252.0,288,23263,1,2017-02-10 10:00:50
10517,Acetoin,0,,15688.0,12345.0,288,23263,1,2017-02-10 10:00:50
10518,Toluene,0,,17578.0,10253.0,295,23265,1,2017-02-10 10:00:50
10519,Indole,0,,35581.0,10254.0,295,23265,1,2017-02-10 10:00:50
10520,Indole,0,,35581.0,10255.0,322,23266,1,2017-02-10 10:00:50
10521,Hydrogen sulfide,0,,16136.0,10256.0,322,23266,1,2017-02-10 10:00:50
10522,Indole,0,,35581.0,10257.0,323,23266,1,2017-02-10 10:00:50
10523,Hydrogen sulfide,0,,16136.0,10258.0,323,23266,1,2017-02-10 10:00:50
10524,Indole,0,,35581.0,12348.0,343,23267,1,2017-02-10 10:00:50
10525,Hydrogen sulfide,0,,16136.0,10259.0,343,23267,1,2017-02-10 10:00:50
10526,Acetoin,0,,15688.0,12347.0,343,23267,1,2017-02-10 10:00:50
10527,Indole,0,,35581.0,10260.0,349,23268,1,2017-02-10 10:00:50
10528,Hydrogen sulfide,0,,16136.0,10261.0,349,23268,1,2017-02-10 10:00:50
10529,Acetoin,1,,15688.0,12349.0,349,23268,1,2017-02-10 10:00:50
10530,Indole,0,,35581.0,10262.0,355,23272,1,2017-02-10 10:00:50
10531,Hydrogen sulfide,0,,16136.0,10263.0,355,23272,1,2017-02-10 10:00:50
10532,Indole,0,,35581.0,10264.0,361,23275,1,2017-02-10 10:00:50
10533,Hydrogen sulfide,0,,16136.0,10265.0,361,23275,1,2017-02-10 10:00:50
10534,Acetoin,1,,15688.0,12350.0,361,23275,1,2017-02-10 10:00:50
10535,Indole,0,,35581.0,10266.0,365,23279,1,2017-02-10 10:00:50
10536,Indole,0,,35581.0,10267.0,377,23280,1,2017-02-10 10:00:50
