ID_kit_api_CAM,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_CAM,modify_in_pgsql_CAM,ID_tbl_api_CAM,last_change
2062,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,+,157925,64497,1,2018-09-21 00:00:00,2018-09-21 10:40:03,284.0,2019-11-20 07:22:48
2063,-,+,+,+,-,+,+/-,-,-,+/-,-,+,-,-,-,-,-,-,-,-,+,132840,24628,1,2018-09-20 00:00:00,2018-10-01 14:55:03,285.0,2019-11-20 07:22:48
2064,-,+,+,-,+/-,+/-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,157035,64329,1,2017-09-13 00:00:00,2018-10-10 14:05:03,286.0,2019-11-20 07:22:48
2065,+,-,-,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,,24099,20491,1,2018-12-06 00:00:00,2018-12-10 13:30:03,287.0,2019-11-20 07:22:48
2066,-,+,+,-,-,+,-,-,-,+,-,+,+,+/-,+,+,+,+,+,-,+,157920,64492,1,2018-09-13 00:00:00,2018-12-18 13:30:05,288.0,2019-11-20 07:22:48
2067,+,+,+,+,+,+,-,-,-,+,-,+,-,-,-,-,-,-,-,-,+,2139,16626,1,2019-01-09 00:00:00,2019-01-16 13:30:04,289.0,2019-11-20 07:22:48
2068,+,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,,23819,20311,1,2019-01-21 00:00:00,2019-01-21 14:25:03,290.0,2019-11-20 07:22:48
2069,-,+,+,-,-,+,-,-,-,+,-,-,+/-,-,+/-,-,+/-,-,+/-,-,+,2103,1684,1,2019-02-14 00:00:00,2019-02-19 09:35:04,291.0,2019-11-20 07:22:48
2070,-,+,+,+,-,+,-,-,-,-,-,-,+,-,+/-,-,-,+/-,-,-,+,131213,22852,1,2019-03-07 00:00:00,2019-03-08 08:15:04,292.0,2019-11-20 07:22:48
2071,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,6102,15441,1,2019-03-06 00:00:00,2019-03-08 08:25:03,293.0,2019-11-20 07:22:48
2072,-,+,+,+,+,+,-,-,-,+,-,-,+,-,+/-,-,-,-,-,-,+,2145,17498,1,2019-05-09 00:00:00,2019-05-24 11:05:04,297.0,2019-11-20 07:22:48
2073,-,+,+,+,-,+,+/-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,132840,24628,1,2019-07-11 00:00:00,2019-07-12 10:25:03,298.0,2019-11-20 07:22:48
2074,+,+,-,+,-,-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,+,6108,16601,1,2019-09-18 00:00:00,2019-09-24 13:05:09,300.0,2019-11-20 07:22:48
2075,+,-,-,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,157652,64221,1,2019-09-18 00:00:00,2019-09-25 12:20:09,301.0,2019-11-20 07:22:48
