ID_annotation_event,approved,ID_approval_user,ID_annotation_user,Created,Last_Changed
3946,0,,9,2014-11-21 13:02:21,2014-11-21 13:02:21
3947,0,,9,2014-11-21 13:04:08,2014-11-21 13:04:08
3948,0,,9,2014-11-21 13:04:39,2014-11-21 13:04:39
3949,0,,9,2014-11-21 13:06:26,2014-11-21 13:06:26
3950,0,,9,2014-11-21 13:08:08,2014-11-21 13:08:08
3951,0,,9,2014-11-21 13:08:56,2014-11-21 13:08:56
3952,0,,9,2014-11-21 13:12:25,2014-11-21 13:12:25
3953,0,,9,2014-11-21 13:14:20,2014-11-21 13:14:20
3954,0,,9,2014-11-21 13:14:56,2014-11-21 13:14:56
3955,0,,9,2014-11-21 13:20:18,2014-11-21 13:20:18
3956,0,,9,2014-11-21 13:20:47,2014-11-21 13:20:47
3957,0,,9,2014-11-21 13:22:06,2014-11-21 13:22:06
3958,0,,9,2014-11-21 13:22:32,2014-11-21 13:22:32
3959,0,,9,2014-11-21 13:26:48,2014-11-21 13:26:48
3960,0,,9,2014-11-21 13:27:14,2014-11-21 13:27:14
3961,0,,9,2014-11-21 13:28:22,2014-11-21 13:28:22
3962,0,,9,2014-11-21 13:29:04,2014-11-21 13:29:04
3963,0,,9,2014-11-21 13:31:09,2014-11-21 13:31:09
3964,0,,9,2014-11-21 13:33:02,2014-11-21 13:33:02
3965,0,,9,2014-11-21 13:33:27,2014-11-21 13:33:27
3966,0,,9,2014-11-21 13:35:48,2014-11-21 13:35:48
3967,0,,9,2014-11-21 13:36:09,2014-11-21 13:36:09
3968,0,,9,2014-11-21 13:37:19,2014-11-21 13:37:19
3969,0,,9,2014-11-21 13:37:50,2014-11-21 13:37:50
3970,0,,9,2014-11-21 13:40:20,2014-11-21 13:40:20
3971,0,,9,2014-11-21 13:40:44,2014-11-21 13:40:44
3972,0,,9,2014-11-21 13:41:57,2014-11-21 13:41:57
3973,0,,9,2014-11-21 13:42:26,2014-11-21 13:42:26
3974,0,,9,2014-11-21 13:44:45,2014-11-21 13:44:45
3975,0,,9,2014-11-21 13:46:33,2014-11-21 13:46:33
3976,0,,9,2014-11-21 13:46:57,2014-11-21 13:46:57
3977,0,,9,2014-11-21 13:49:06,2014-11-21 13:49:06
