ID_risk_assessment,biosafety_level,biosafety_level_comment,pathogenicity_human,pathogenicity_animal,pathogenicity_plant,ID_strains,ID_reference,manual_annotation,last_change
33438,1,Risk group (German classification),,,,17964,5563,1,2019-11-08 07:29:11
33437,1,Risk group (German classification),,,,11212,11771,1,2019-11-08 07:29:11
33436,1,Risk group (German classification),,,,11211,11770,1,2019-11-08 07:29:11
33435,1,Risk group (German classification),,,,11210,11535,1,2019-11-08 07:29:11
33434,1,Risk group (German classification),,,,13899,2843,1,2019-11-08 07:29:11
33433,1,Risk group (German classification),,,,5780,2842,1,2019-11-08 07:29:11
33432,1,Risk group (German classification),,,,7130,5063,1,2019-11-08 07:29:11
33431,1,Risk group (German classification),,,,7129,3910,1,2019-11-08 07:29:11
33430,1,Risk group (German classification),,,,2806,5253,1,2019-11-08 07:29:11
33429,1,Risk group (German classification),,,,1405,5183,1,2019-11-08 07:29:11
33428,1,Risk group (German classification),,,,1404,5182,1,2019-11-08 07:29:11
33427,1,Risk group (German classification),,,,8186,5237,1,2019-11-08 07:29:11
33426,1,Risk group (German classification),,,,8185,5236,1,2019-11-08 07:29:11
33425,1,Risk group (German classification),,,,17370,5561,1,2019-11-08 07:29:11
33424,1,Risk group (German classification),,,,3842,5560,1,2019-11-08 07:29:11
33423,1,Risk group (German classification),,,,17048,5558,1,2019-11-08 07:29:11
33422,1,Risk group (German classification),,,,6351,5557,1,2019-11-08 07:29:11
33421,1,Risk group (German classification),,,,6350,3885,1,2019-11-08 07:29:11
33420,1,Risk group (German classification),,,,6365,5556,1,2019-11-08 07:29:11
33419,1,Risk group (German classification),,,,6364,3902,1,2019-11-08 07:29:11
33418,1,Risk group (German classification),,,,6363,3886,1,2019-11-08 07:29:11
33417,1,Risk group (German classification),,,,130802,21469,1,2019-11-08 07:29:11
33416,1,Risk group (German classification),,,,6395,5550,1,2019-11-08 07:29:11
33415,1,Risk group (German classification),,,,11785,5614,1,2019-11-08 07:29:11
33414,1,Risk group (German classification),,,,11784,5548,1,2019-11-08 07:29:11
33413,1,Risk group (German classification),,1.0,,526,5543,1,2019-11-08 07:29:11
33412,1,Risk group (German classification),,,,6032,5542,1,2019-11-08 07:29:11
33411,1,Risk group (German classification),,,,2366,5539,1,2019-11-08 07:29:11
33410,1,Risk group (German classification),,,,2365,5538,1,2019-11-08 07:29:11
33409,1,Risk group (German classification),,,,3841,5537,1,2019-11-08 07:29:11
33408,1,Risk group (German classification),,,,17845,5540,1,2019-11-08 07:29:11
33407,1,Risk group (German classification),,,,6862,5114,1,2019-11-08 07:29:11
33406,1,Risk group (German classification),,1.0,,8507,11917,1,2019-11-08 07:29:11
33405,1,Risk group (German classification),,,,13923,7059,1,2019-11-08 07:29:11
33404,1,Risk group (German classification),,,,132049,23840,1,2019-11-08 07:29:11
33403,1,Risk group (German classification),,,,13922,5527,1,2019-11-08 07:29:11
33402,1,Risk group (German classification),,,,102,5525,1,2019-11-08 07:29:11
33401,1,Risk group (German classification),,,,101,5524,1,2019-11-08 07:29:11
33400,1,Risk group (German classification),,,,100,5523,1,2019-11-08 07:29:11
33399,1,Risk group (German classification),,,,3525,14422,1,2019-11-08 07:29:11
33398,1,Risk group (German classification),,,,3524,14421,1,2019-11-08 07:29:11
33397,1,Risk group (German classification),,,,3523,14420,1,2019-11-08 07:29:11
33396,1,Risk group (German classification),,,,3522,14419,1,2019-11-08 07:29:11
33395,1,Risk group (German classification),,,,3521,14418,1,2019-11-08 07:29:11
33394,1,Risk group (German classification),,,,3520,14417,1,2019-11-08 07:29:11
33393,1,Risk group (German classification),,,,3519,14416,1,2019-11-08 07:29:11
33392,1,Risk group (German classification),,,,3518,14415,1,2019-11-08 07:29:11
33391,1,Risk group (German classification),,,,3517,14414,1,2019-11-08 07:29:11
33390,1,Risk group (German classification),,,,3516,14413,1,2019-11-08 07:29:11
33389,1,Risk group (German classification),,,,3515,14412,1,2019-11-08 07:29:11
33388,1,Risk group (German classification),,,,3514,14411,1,2019-11-08 07:29:11
33387,1,Risk group (German classification),,,,3513,14410,1,2019-11-08 07:29:11
33386,1,Risk group (German classification),,,,3512,14409,1,2019-11-08 07:29:11
33385,1,Risk group (German classification),,,,3511,14408,1,2019-11-08 07:29:11
33384,1,Risk group (German classification),,,,3509,14406,1,2019-11-08 07:29:11
33383,1,Risk group (German classification),,,,3508,14405,1,2019-11-08 07:29:11
33382,1,Risk group (German classification),,,,3507,14404,1,2019-11-08 07:29:11
33381,1,Risk group (German classification),,,,3506,14403,1,2019-11-08 07:29:11
33380,1,Risk group (German classification),,,,3505,14402,1,2019-11-08 07:29:11
33379,1,Risk group (German classification),,,,3504,14401,1,2019-11-08 07:29:11
33378,1,Risk group (German classification),,,,3503,14400,1,2019-11-08 07:29:11
33377,1,Risk group (German classification),,,,3502,14399,1,2019-11-08 07:29:11
33376,1,Risk group (German classification),,,,3501,14398,1,2019-11-08 07:29:11
33375,1,Risk group (German classification),,,,3500,14397,1,2019-11-08 07:29:11
33374,1,Risk group (German classification),,,,3499,14396,1,2019-11-08 07:29:11
33373,1,Risk group (German classification),,,,3498,14395,1,2019-11-08 07:29:11
33372,1,Risk group (German classification),,,,3497,14394,1,2019-11-08 07:29:11
33371,1,Risk group (German classification),,,,3496,14393,1,2019-11-08 07:29:11
33370,1,Risk group (German classification),,,,3495,14392,1,2019-11-08 07:29:11
33369,1,Risk group (German classification),,,,3494,14391,1,2019-11-08 07:29:11
33368,1,Risk group (German classification),,,,3493,14390,1,2019-11-08 07:29:11
33367,1,Risk group (German classification),,,,3492,14389,1,2019-11-08 07:29:11
33366,1,Risk group (German classification),,,,3491,14388,1,2019-11-08 07:29:11
33365,1,Risk group (German classification),,,,3490,14387,1,2019-11-08 07:29:11
33364,1,Risk group (German classification),,,,3489,14386,1,2019-11-08 07:29:11
33363,1,Risk group (German classification),,,,3488,14385,1,2019-11-08 07:29:11
33362,1,Risk group (German classification),,,,3487,5531,1,2019-11-08 07:29:11
33361,1,Risk group (German classification),,,,3486,5456,1,2019-11-08 07:29:11
33360,1,Risk group (German classification),,,,3485,5455,1,2019-11-08 07:29:11
33359,1,Risk group (German classification),,,,3484,5454,1,2019-11-08 07:29:11
33358,1,Risk group (German classification),,,,3483,14441,1,2019-11-08 07:29:11
33357,1,Risk group (German classification),,,,3482,14440,1,2019-11-08 07:29:11
33356,1,Risk group (German classification),,,,3481,14439,1,2019-11-08 07:29:11
33355,1,Risk group (German classification),,,,3480,14438,1,2019-11-08 07:29:11
33354,1,Risk group (German classification),,,,3479,14437,1,2019-11-08 07:29:11
33353,1,Risk group (German classification),,,,3478,14436,1,2019-11-08 07:29:11
33352,1,Risk group (German classification),,,,3477,14435,1,2019-11-08 07:29:11
33351,1,Risk group (German classification),,,,3476,14434,1,2019-11-08 07:29:11
33350,1,Risk group (German classification),,,,3475,14433,1,2019-11-08 07:29:11
33349,1,Risk group (German classification),,,,3474,14432,1,2019-11-08 07:29:11
33348,1,Risk group (German classification),,,,3473,14431,1,2019-11-08 07:29:11
33347,1,Risk group (German classification),,,,3472,14430,1,2019-11-08 07:29:11
33346,1,Risk group (German classification),,,,3471,14429,1,2019-11-08 07:29:11
33345,1,Risk group (German classification),,,,3470,14428,1,2019-11-08 07:29:11
33344,1,Risk group (German classification),,,,3469,14426,1,2019-11-08 07:29:11
33343,1,Risk group (German classification),,,,3468,14425,1,2019-11-08 07:29:11
33342,1,Risk group (German classification),,,,3467,14424,1,2019-11-08 07:29:11
33341,1,Risk group (German classification),,,,3466,14423,1,2019-11-08 07:29:11
33340,1,Risk group (German classification),,,,3465,5532,1,2019-11-08 07:29:11
33339,1,Risk group (German classification),,,,3464,5453,1,2019-11-08 07:29:11
33338,1,Risk group (German classification),,,,3463,5445,1,2019-11-08 07:29:11
33337,1,Risk group (German classification),,,,14236,5444,1,2019-11-08 07:29:11
33336,1,Risk group (German classification),,,,14235,5443,1,2019-11-08 07:29:11
33335,1,Risk group (German classification),,,,14234,5442,1,2019-11-08 07:29:11
33334,1,Risk group (German classification),,,,14233,5441,1,2019-11-08 07:29:11
33333,1,Risk group (German classification),,,,1207,5440,1,2019-11-08 07:29:11
33332,1,Risk group (German classification),,,,4294,5371,1,2019-11-08 07:29:11
33331,1,Risk group (German classification),,,,11912,5370,1,2019-11-08 07:29:11
33330,1,Risk group (German classification),,,,4292,5082,1,2019-11-08 07:29:11
33329,1,Risk group (German classification),,,,4291,5080,1,2019-11-08 07:29:11
33328,1,Risk group (German classification),,,,4290,5083,1,2019-11-08 07:29:11
33327,1,Risk group (German classification),,,,4289,5079,1,2019-11-08 07:29:11
33326,1,Risk group (German classification),,,,5873,4413,1,2019-11-08 07:29:11
33325,1,Risk group (German classification),,,,423,218,1,2019-11-08 07:29:11
33324,1,Risk group (German classification),,,,422,217,1,2019-11-08 07:29:11
33323,1,Risk group (German classification),,,,421,216,1,2019-11-08 07:29:11
33322,1,Risk group (German classification),,,,420,215,1,2019-11-08 07:29:11
33321,1,Risk group (German classification),,,,419,214,1,2019-11-08 07:29:11
33320,1,Risk group (German classification),,,,418,213,1,2019-11-08 07:29:11
33319,1,Risk group (German classification),,,,417,212,1,2019-11-08 07:29:11
33318,1,Risk group (German classification),,,,416,211,1,2019-11-08 07:29:11
33317,1,Risk group (German classification),,,,415,4286,1,2019-11-08 07:29:11
33316,1,Risk group (German classification),,,,17810,4851,1,2019-11-08 07:29:11
33315,1,Risk group (German classification),,,,6270,4697,1,2019-11-08 07:29:11
33314,1,Risk group (German classification),,,,6269,4696,1,2019-11-08 07:29:11
33313,1,Risk group (German classification),,,,11209,11913,1,2019-11-08 07:29:11
33312,1,Risk group (German classification),,,,13485,11878,1,2019-11-08 07:29:11
33311,2,Risk group (German classification),,1.0,,13289,11877,1,2019-11-08 07:29:11
33310,1,Risk group (German classification),,,,13918,5438,1,2019-11-08 07:29:11
33309,1,Risk group (German classification),,,,131088,22380,1,2019-11-08 07:29:11
33308,1,Risk group (German classification),,,,13917,5437,1,2019-11-08 07:29:11
33307,1,Risk group (German classification),,,,12056,15404,1,2019-11-08 07:29:11
33306,1,Risk group (German classification),,,,12055,15403,1,2019-11-08 07:29:11
33305,1,Risk group (German classification),,,,12054,15402,1,2019-11-08 07:29:11
33304,1,Risk group (German classification),,,,12053,15401,1,2019-11-08 07:29:11
33303,1,Risk group (German classification),,,,12052,15400,1,2019-11-08 07:29:11
33302,1,Risk group (German classification),,,,12051,15399,1,2019-11-08 07:29:11
33301,1,Risk group (German classification),,,,12050,15398,1,2019-11-08 07:29:11
33300,1,Risk group (German classification),,,,12049,15397,1,2019-11-08 07:29:11
33299,1,Risk group (German classification),,,,12048,15396,1,2019-11-08 07:29:11
33298,1,Risk group (German classification),,,,12047,15395,1,2019-11-08 07:29:11
33297,1,Risk group (German classification),,,,12046,5520,1,2019-11-08 07:29:11
33296,1,Risk group (German classification),,,,12045,5519,1,2019-11-08 07:29:11
33295,1,Risk group (German classification),,,,12044,5432,1,2019-11-08 07:29:11
33294,1,Risk group (German classification),,,,1206,17087,1,2019-11-08 07:29:11
33293,1,Risk group (German classification),,,,1205,5515,1,2019-11-08 07:29:11
33292,1,Risk group (German classification),,,,4142,5513,1,2019-11-08 07:29:11
33291,1,Risk group (German classification),,,,3462,14550,1,2019-11-08 07:29:11
33290,1,Risk group (German classification),,,,3461,14549,1,2019-11-08 07:29:11
33289,1,Risk group (German classification),,,,3460,14548,1,2019-11-08 07:29:11
33288,1,Risk group (German classification),,,,3459,14547,1,2019-11-08 07:29:11
33287,1,Risk group (German classification),,,,3458,14546,1,2019-11-08 07:29:11
33286,1,Risk group (German classification),,,,3457,14545,1,2019-11-08 07:29:11
33285,1,Risk group (German classification),,,,3456,14544,1,2019-11-08 07:29:11
33284,1,Risk group (German classification),,,,3455,14543,1,2019-11-08 07:29:11
33283,1,Risk group (German classification),,,,3454,14542,1,2019-11-08 07:29:11
33282,1,Risk group (German classification),,,,3453,14541,1,2019-11-08 07:29:11
33281,1,Risk group (German classification),,,,3452,14540,1,2019-11-08 07:29:11
33280,1,Risk group (German classification),,,,3451,14539,1,2019-11-08 07:29:11
33279,1,Risk group (German classification),,,,3450,14538,1,2019-11-08 07:29:11
33278,1,Risk group (German classification),,,,3449,14537,1,2019-11-08 07:29:11
33277,1,Risk group (German classification),,,,3448,14536,1,2019-11-08 07:29:11
33276,1,Risk group (German classification),,,,3447,14535,1,2019-11-08 07:29:11
33275,1,Risk group (German classification),,,,3446,14534,1,2019-11-08 07:29:11
33274,1,Risk group (German classification),,,,3445,14533,1,2019-11-08 07:29:11
33273,1,Risk group (German classification),,,,3444,14532,1,2019-11-08 07:29:11
33272,1,Risk group (German classification),,,,3443,14531,1,2019-11-08 07:29:11
33271,1,Risk group (German classification),,,,3442,14530,1,2019-11-08 07:29:11
33270,1,Risk group (German classification),,,,3441,14529,1,2019-11-08 07:29:11
33269,1,Risk group (German classification),,,,3440,14528,1,2019-11-08 07:29:11
6456,1,Risk group (German classification),,,,7476,6987,1,2018-05-31 09:20:07
33268,1,Risk group (German classification),,,,3439,14527,1,2019-11-08 07:29:11
33267,1,Risk group (German classification),,,,3438,14526,1,2019-11-08 07:29:11
33266,1,Risk group (German classification),,,,3437,14525,1,2019-11-08 07:29:11
33265,1,Risk group (German classification),,,,3435,14523,1,2019-11-08 07:29:11
33264,1,Risk group (German classification),,,,3434,14522,1,2019-11-08 07:29:11
33263,1,Risk group (German classification),,,,3433,14521,1,2019-11-08 07:29:11
33262,1,Risk group (German classification),,,,3432,14520,1,2019-11-08 07:29:11
33261,1,Risk group (German classification),,,,3431,14519,1,2019-11-08 07:29:11
33260,1,Risk group (German classification),,,,3430,14518,1,2019-11-08 07:29:11
33259,1,Risk group (German classification),,,,3429,14517,1,2019-11-08 07:29:11
33258,1,Risk group (German classification),,,,3428,14516,1,2019-11-08 07:29:11
33257,1,Risk group (German classification),,,,3427,14515,1,2019-11-08 07:29:11
33256,1,Risk group (German classification),,,,3426,14514,1,2019-11-08 07:29:11
33255,1,Risk group (German classification),,,,3425,14513,1,2019-11-08 07:29:11
33254,1,Risk group (German classification),,,,3424,14512,1,2019-11-08 07:29:11
33253,1,Risk group (German classification),,,,3423,14511,1,2019-11-08 07:29:11
33252,1,Risk group (German classification),,,,3422,14510,1,2019-11-08 07:29:11
33251,1,Risk group (German classification),,,,3421,14509,1,2019-11-08 07:29:11
33250,1,Risk group (German classification),,,,3420,14508,1,2019-11-08 07:29:11
33249,1,Risk group (German classification),,,,3419,14507,1,2019-11-08 07:29:11
33248,1,Risk group (German classification),,,,3418,14506,1,2019-11-08 07:29:11
33247,1,Risk group (German classification),,,,3417,14505,1,2019-11-08 07:29:11
33246,1,Risk group (German classification),,,,3416,14504,1,2019-11-08 07:29:11
33245,1,Risk group (German classification),,,,3415,14503,1,2019-11-08 07:29:11
33244,1,Risk group (German classification),,,,3414,14502,1,2019-11-08 07:29:11
33243,1,Risk group (German classification),,,,3413,14501,1,2019-11-08 07:29:11
33242,1,Risk group (German classification),,,,3412,14500,1,2019-11-08 07:29:11
33241,1,Risk group (German classification),,,,3411,14499,1,2019-11-08 07:29:11
33240,1,Risk group (German classification),,,,3410,14498,1,2019-11-08 07:29:11
33239,1,Risk group (German classification),,,,3409,14379,1,2019-11-08 07:29:11
33238,1,Risk group (German classification),,,,3408,14378,1,2019-11-08 07:29:11
33237,1,Risk group (German classification),,,,3407,14377,1,2019-11-08 07:29:11
33236,1,Risk group (German classification),,,,3406,14376,1,2019-11-08 07:29:11
33235,1,Risk group (German classification),,,,3405,14375,1,2019-11-08 07:29:11
33234,1,Risk group (German classification),,,,3404,14374,1,2019-11-08 07:29:11
33233,1,Risk group (German classification),,,,3403,14373,1,2019-11-08 07:29:11
33232,1,Risk group (German classification),,,,3402,14372,1,2019-11-08 07:29:11
33231,1,Risk group (German classification),,,,3401,14367,1,2019-11-08 07:29:11
33230,1,Risk group (German classification),,,,3400,14366,1,2019-11-08 07:29:11
33229,1,Risk group (German classification),,,,3399,14365,1,2019-11-08 07:29:11
33228,1,Risk group (German classification),,,,3398,14364,1,2019-11-08 07:29:11
33227,1,Risk group (German classification),,,,3397,14363,1,2019-11-08 07:29:11
33226,1,Risk group (German classification),,,,3396,14362,1,2019-11-08 07:29:11
33225,1,Risk group (German classification),,,,3395,14361,1,2019-11-08 07:29:11
33224,1,Risk group (German classification),,,,3394,14360,1,2019-11-08 07:29:11
33223,1,Risk group (German classification),,,,3393,5522,1,2019-11-08 07:29:11
33222,1,Risk group (German classification),,,,3392,5521,1,2019-11-08 07:29:11
33221,1,Risk group (German classification),,,,3391,5512,1,2019-11-08 07:29:11
33220,1,Risk group (German classification),,,,5335,5511,1,2019-11-08 07:29:11
33219,1,Risk group (German classification),,,,3629,15312,1,2019-11-08 07:29:11
33218,1,Risk group (German classification),,,,3628,15311,1,2019-11-08 07:29:11
33217,1,Risk group (German classification),,,,3627,15310,1,2019-11-08 07:29:11
33216,1,Risk group (German classification),,,,3626,14570,1,2019-11-08 07:29:11
33215,1,Risk group (German classification),,,,3625,14569,1,2019-11-08 07:29:11
33214,1,Risk group (German classification),,,,3624,14568,1,2019-11-08 07:29:11
33213,1,Risk group (German classification),,,,3623,14567,1,2019-11-08 07:29:11
33212,1,Risk group (German classification),,,,3622,14566,1,2019-11-08 07:29:11
33211,1,Risk group (German classification),,,,3621,14565,1,2019-11-08 07:29:11
33210,1,Risk group (German classification),,,,3620,14564,1,2019-11-08 07:29:11
33209,1,Risk group (German classification),,,,3619,14563,1,2019-11-08 07:29:11
33208,1,Risk group (German classification),,,,3618,14562,1,2019-11-08 07:29:11
33207,1,Risk group (German classification),,,,3617,14561,1,2019-11-08 07:29:11
33206,1,Risk group (German classification),,,,3616,14560,1,2019-11-08 07:29:11
33205,1,Risk group (German classification),,,,3615,14559,1,2019-11-08 07:29:11
33204,1,Risk group (German classification),,,,3614,14558,1,2019-11-08 07:29:11
33203,1,Risk group (German classification),,,,3613,14557,1,2019-11-08 07:29:11
33202,1,Risk group (German classification),,,,3612,14556,1,2019-11-08 07:29:11
33201,1,Risk group (German classification),,,,3611,5510,1,2019-11-08 07:29:11
33200,1,Risk group (German classification),,,,3610,5509,1,2019-11-08 07:29:11
33199,1,Risk group (German classification),,,,3609,5506,1,2019-11-08 07:29:11
33198,1,Risk group (German classification),,,,3707,16545,1,2019-11-08 07:29:11
33197,1,Risk group (German classification),,,,3706,16544,1,2019-11-08 07:29:11
33196,1,Risk group (German classification),,,,3705,16543,1,2019-11-08 07:29:11
33195,1,Risk group (German classification),,,,3704,16482,1,2019-11-08 07:29:11
33194,1,Risk group (German classification),,,,3703,16481,1,2019-11-08 07:29:11
33193,1,Risk group (German classification),,,,3702,15455,1,2019-11-08 07:29:11
33192,1,Risk group (German classification),,,,3701,15454,1,2019-11-08 07:29:11
33191,1,Risk group (German classification),,,,3700,15453,1,2019-11-08 07:29:11
33190,1,Risk group (German classification),,,,3699,15409,1,2019-11-08 07:29:11
33189,1,Risk group (German classification),,,,3698,15408,1,2019-11-08 07:29:11
33188,1,Risk group (German classification),,,,3697,5507,1,2019-11-08 07:29:11
33187,1,Risk group (German classification),,,,3696,5433,1,2019-11-08 07:29:11
33186,1,Risk group (German classification),,,,3390,15385,1,2019-11-08 07:29:11
33185,1,Risk group (German classification),,,,3389,14464,1,2019-11-08 07:29:11
33184,1,Risk group (German classification),,,,3388,14463,1,2019-11-08 07:29:11
33183,1,Risk group (German classification),,,,3387,14462,1,2019-11-08 07:29:11
33182,1,Risk group (German classification),,,,3386,14461,1,2019-11-08 07:29:11
33181,1,Risk group (German classification),,,,3385,14460,1,2019-11-08 07:29:11
33180,1,Risk group (German classification),,,,3384,14459,1,2019-11-08 07:29:11
33179,1,Risk group (German classification),,,,3383,14458,1,2019-11-08 07:29:11
33178,1,Risk group (German classification),,,,3382,14457,1,2019-11-08 07:29:11
33177,1,Risk group (German classification),,,,3381,14456,1,2019-11-08 07:29:11
33176,1,Risk group (German classification),,,,3380,14455,1,2019-11-08 07:29:11
33175,1,Risk group (German classification),,,,3379,14454,1,2019-11-08 07:29:11
33174,1,Risk group (German classification),,,,3378,14453,1,2019-11-08 07:29:11
33173,1,Risk group (German classification),,,,3377,14452,1,2019-11-08 07:29:11
33172,1,Risk group (German classification),,,,3376,14451,1,2019-11-08 07:29:11
33171,1,Risk group (German classification),,,,3375,14450,1,2019-11-08 07:29:11
33170,1,Risk group (German classification),,,,3374,14449,1,2019-11-08 07:29:11
33169,1,Risk group (German classification),,,,3373,5504,1,2019-11-08 07:29:11
33168,1,Risk group (German classification),,,,3372,5503,1,2019-11-08 07:29:11
33167,1,Risk group (German classification),,,,3371,14488,1,2019-11-08 07:29:11
33166,1,Risk group (German classification),,,,3370,14487,1,2019-11-08 07:29:11
33165,1,Risk group (German classification),,,,3369,14486,1,2019-11-08 07:29:11
33164,1,Risk group (German classification),,,,3368,14485,1,2019-11-08 07:29:11
33163,1,Risk group (German classification),,,,3367,14484,1,2019-11-08 07:29:11
33162,1,Risk group (German classification),,,,3366,14482,1,2019-11-08 07:29:11
33161,1,Risk group (German classification),,,,3365,14481,1,2019-11-08 07:29:11
33160,1,Risk group (German classification),,,,3364,14480,1,2019-11-08 07:29:11
33159,1,Risk group (German classification),,,,3363,14479,1,2019-11-08 07:29:11
33158,1,Risk group (German classification),,,,3362,14478,1,2019-11-08 07:29:11
33157,1,Risk group (German classification),,,,3361,14477,1,2019-11-08 07:29:11
33156,1,Risk group (German classification),,,,3360,14476,1,2019-11-08 07:29:11
33155,1,Risk group (German classification),,,,3359,14475,1,2019-11-08 07:29:11
33154,1,Risk group (German classification),,,,3358,14474,1,2019-11-08 07:29:11
33153,1,Risk group (German classification),,,,3357,14473,1,2019-11-08 07:29:11
33152,1,Risk group (German classification),,,,3356,14472,1,2019-11-08 07:29:11
33151,1,Risk group (German classification),,,,3355,14471,1,2019-11-08 07:29:11
33150,1,Risk group (German classification),,,,3354,14470,1,2019-11-08 07:29:11
33149,1,Risk group (German classification),,,,3353,14469,1,2019-11-08 07:29:11
33148,1,Risk group (German classification),,,,3352,14468,1,2019-11-08 07:29:11
33147,1,Risk group (German classification),,,,3351,14467,1,2019-11-08 07:29:11
33146,1,Risk group (German classification),,,,3350,14466,1,2019-11-08 07:29:11
33145,1,Risk group (German classification),,,,3349,14465,1,2019-11-08 07:29:11
33144,1,Risk group (German classification),,,,3348,14214,1,2019-11-08 07:29:11
33143,1,Risk group (German classification),,,,3347,14213,1,2019-11-08 07:29:11
33142,1,Risk group (German classification),,,,3346,14212,1,2019-11-08 07:29:11
33141,1,Risk group (German classification),,,,3345,14211,1,2019-11-08 07:29:11
33140,1,Risk group (German classification),,,,3344,14210,1,2019-11-08 07:29:11
33139,1,Risk group (German classification),,,,3343,14209,1,2019-11-08 07:29:11
33138,1,Risk group (German classification),,,,3342,14208,1,2019-11-08 07:29:11
33137,1,Risk group (German classification),,,,3341,14207,1,2019-11-08 07:29:11
33136,1,Risk group (German classification),,,,3340,5502,1,2019-11-08 07:29:11
33135,1,Risk group (German classification),,,,3339,5501,1,2019-11-08 07:29:11
33134,1,Risk group (German classification),,,,3338,14489,1,2019-11-08 07:29:11
33133,1,Risk group (German classification),,,,3337,14483,1,2019-11-08 07:29:11
33132,1,Risk group (German classification),,,,3336,14336,1,2019-11-08 07:29:11
33131,1,Risk group (German classification),,,,3335,14335,1,2019-11-08 07:29:11
33130,1,Risk group (German classification),,,,3334,14334,1,2019-11-08 07:29:11
33129,1,Risk group (German classification),,,,3333,14333,1,2019-11-08 07:29:11
33128,1,Risk group (German classification),,,,3332,14332,1,2019-11-08 07:29:11
33127,1,Risk group (German classification),,,,3331,14331,1,2019-11-08 07:29:11
33126,1,Risk group (German classification),,,,3330,14330,1,2019-11-08 07:29:11
33125,1,Risk group (German classification),,,,3329,14329,1,2019-11-08 07:29:11
33124,1,Risk group (German classification),,,,3328,14328,1,2019-11-08 07:29:11
33123,1,Risk group (German classification),,,,3327,14327,1,2019-11-08 07:29:11
33122,1,Risk group (German classification),,,,3326,14326,1,2019-11-08 07:29:11
33121,1,Risk group (German classification),,,,3325,14325,1,2019-11-08 07:29:11
33120,1,Risk group (German classification),,,,3324,5508,1,2019-11-08 07:29:11
33119,1,Risk group (German classification),,,,3323,5500,1,2019-11-08 07:29:11
33118,1,Risk group (German classification),,,,3322,5434,1,2019-11-08 07:29:11
33117,1,Risk group (German classification),,,,3683,14583,1,2019-11-08 07:29:11
33116,1,Risk group (German classification),,,,3682,14582,1,2019-11-08 07:29:11
33115,1,Risk group (German classification),,,,3681,14581,1,2019-11-08 07:29:11
33114,1,Risk group (German classification),,,,3680,14580,1,2019-11-08 07:29:11
33113,1,Risk group (German classification),,,,3679,14579,1,2019-11-08 07:29:11
33112,1,Risk group (German classification),,,,3678,14578,1,2019-11-08 07:29:11
33111,1,Risk group (German classification),,,,3676,14576,1,2019-11-08 07:29:11
33110,1,Risk group (German classification),,,,3675,14575,1,2019-11-08 07:29:11
33109,1,Risk group (German classification),,,,3674,14574,1,2019-11-08 07:29:11
33108,1,Risk group (German classification),,,,3673,14573,1,2019-11-08 07:29:11
33107,1,Risk group (German classification),,,,3672,14572,1,2019-11-08 07:29:11
33106,1,Risk group (German classification),,,,3671,14571,1,2019-11-08 07:29:11
33105,1,Risk group (German classification),,,,3670,5498,1,2019-11-08 07:29:11
33104,1,Risk group (German classification),,,,3321,5497,1,2019-11-08 07:29:11
33103,1,Risk group (German classification),,,,3320,5446,1,2019-11-08 07:29:11
33102,1,Risk group (German classification),,,,3319,14324,1,2019-11-08 07:29:11
33101,1,Risk group (German classification),,,,3318,14323,1,2019-11-08 07:29:11
33100,1,Risk group (German classification),,,,3317,14322,1,2019-11-08 07:29:11
33099,1,Risk group (German classification),,,,3316,14321,1,2019-11-08 07:29:11
33098,1,Risk group (German classification),,,,3315,14320,1,2019-11-08 07:29:11
33097,1,Risk group (German classification),,,,3314,14319,1,2019-11-08 07:29:11
33096,1,Risk group (German classification),,,,3313,14318,1,2019-11-08 07:29:11
33095,1,Risk group (German classification),,,,3312,14317,1,2019-11-08 07:29:11
33094,1,Risk group (German classification),,,,3311,14316,1,2019-11-08 07:29:11
33093,1,Risk group (German classification),,,,3310,14315,1,2019-11-08 07:29:11
33092,1,Risk group (German classification),,,,3309,14314,1,2019-11-08 07:29:11
33091,1,Risk group (German classification),,,,3308,14313,1,2019-11-08 07:29:11
33090,1,Risk group (German classification),,,,3307,14312,1,2019-11-08 07:29:11
33089,1,Risk group (German classification),,,,3306,14311,1,2019-11-08 07:29:11
33088,1,Risk group (German classification),,,,3305,14310,1,2019-11-08 07:29:11
33087,1,Risk group (German classification),,,,3304,14309,1,2019-11-08 07:29:11
33086,1,Risk group (German classification),,,,3303,14308,1,2019-11-08 07:29:11
33085,1,Risk group (German classification),,,,3302,14307,1,2019-11-08 07:29:11
33084,1,Risk group (German classification),,,,3301,5496,1,2019-11-08 07:29:11
33083,1,Risk group (German classification),,,,3300,5495,1,2019-11-08 07:29:11
33082,1,Risk group (German classification),,,,4064,5494,1,2019-11-08 07:29:11
33081,1,Risk group (German classification),,,,9573,14192,1,2019-11-08 07:29:11
33080,1,Risk group (German classification),,,,9572,14191,1,2019-11-08 07:29:11
33079,1,Risk group (German classification),,,,9571,14190,1,2019-11-08 07:29:11
33078,1,Risk group (German classification),,,,9570,14189,1,2019-11-08 07:29:11
33077,1,Risk group (German classification),,,,9568,13666,1,2019-11-08 07:29:11
33076,1,Risk group (German classification),,,,9567,13665,1,2019-11-08 07:29:11
33075,1,Risk group (German classification),,,,9566,13664,1,2019-11-08 07:29:11
33074,1,Risk group (German classification),,,,9565,13663,1,2019-11-08 07:29:11
