temp,test_type,ability,temperature_range,ID_strains
27.5,optimum,positive,mesophilic,6036
27.5,optimum,positive,mesophilic,390
27.5,optimum,positive,mesophilic,14280
27.5,optimum,positive,mesophilic,24261
27.5,optimum,positive,mesophilic,8194
27.5,optimum,positive,mesophilic,8196
27.5,optimum,positive,mesophilic,11367
27.5,optimum,positive,mesophilic,134059
27.5,optimum,positive,mesophilic,13936
27.5,optimum,positive,mesophilic,133845
27.5,optimum,positive,mesophilic,1871
27.5,optimum,positive,mesophilic,7592
27.5,optimum,positive,mesophilic,8201
27.5,optimum,positive,mesophilic,134072
27.5,optimum,positive,mesophilic,14072
27.5,optimum,positive,mesophilic,133866
27.5,optimum,positive,mesophilic,5721
27.5,optimum,positive,mesophilic,5705
27.5,optimum,positive,mesophilic,6072
27.5,optimum,positive,mesophilic,13729
27.5,optimum,positive,mesophilic,17234
27.5,optimum,positive,mesophilic,5397
27.5,optimum,positive,mesophilic,134311
27.5,optimum,positive,mesophilic,133693
27.5,optimum,positive,mesophilic,5510
27.5,optimum,positive,mesophilic,5570
27.5,optimum,positive,mesophilic,134323
27.5,optimum,positive,mesophilic,1553
27.5,optimum,positive,mesophilic,133791
27.5,optimum,positive,mesophilic,17650
27.5,optimum,positive,mesophilic,7219
27.5,optimum,positive,mesophilic,5618
27.5,optimum,positive,mesophilic,134262
27.5,optimum,positive,mesophilic,23284
27.5,optimum,positive,mesophilic,3020
27.5,optimum,positive,mesophilic,11369
27.5,optimum,positive,mesophilic,18154
27.5,optimum,positive,mesophilic,17758
27.5,optimum,positive,mesophilic,7191
27.5,optimum,positive,mesophilic,133939
27.5,optimum,positive,mesophilic,7236
27.5,optimum,positive,mesophilic,495
27.5,optimum,positive,mesophilic,24504
27.5,optimum,positive,mesophilic,17639
27.5,optimum,positive,mesophilic,130849
27.5,optimum,positive,mesophilic,11136
27.5,optimum,positive,mesophilic,17453
27.5,optimum,positive,mesophilic,7497
27.5,optimum,positive,mesophilic,134253
27.5,optimum,positive,mesophilic,133914
27.5,optimum,positive,mesophilic,134215
27.5,optimum,positive,mesophilic,133627
27.5,optimum,positive,mesophilic,23252
27.5,optimum,positive,mesophilic,134056
27.5,optimum,positive,mesophilic,3835
27.5,optimum,positive,mesophilic,134034
27.5,optimum,positive,mesophilic,134146
27.5,optimum,positive,mesophilic,11298
27.5,optimum,positive,mesophilic,23019
27.5,optimum,positive,mesophilic,5567
