ID_culture_pH,pH,test_type,ability,ID_strains
487,7.0-8.0,optimum,positive,1652
488,6.0,minimum,positive,1653
489,8.5,maximum,positive,1653
490,7.5-8.0,optimum,positive,1653
491,7.0-7.5,optimum,positive,1654
492,5.5,minimum,positive,1654
493,10.0,maximum,positive,1654
494,5.5,growth,no,1654
495,10.5,growth,no,1654
496,5.0-5.5,optimum,positive,1656
497,4.2-7.2,growth,positive,1656
498,5.2-7.2,growth,positive,1657
499,6.0-6.2,optimum,positive,1657
500,4.5-7.0,growth,positive,1658
501,5.5,optimum,positive,1658
502,5.5-6.0,optimum,positive,1659
503,4.2,minimum,positive,1659
504,3-10,growth,positive,1672
505,6.5,optimum,positive,1672
506,3.1-6.5,growth,positive,1673
507,4.5-5.0,optimum,positive,1673
508,7.5,optimum,positive,1680
509,6.5-6.9,optimum,positive,1723
510,4.5,growth,no,1723
511,8,growth,no,1723
512,6.5-6.9,optimum,positive,1726
513,4.5,growth,no,1726
514,8.0,growth,no,1726
515,9-10,optimum,positive,1770
516,6-9,growth,positive,1771
517,6.5,minimum,positive,1773
518,10.0,maximum,positive,1773
519,7.0,optimum,positive,1773
520,6.0,minimum,positive,1786
521,9.0,maximum,positive,1786
522,7.5-8.0,optimum,positive,1786
523,5.0-8.0,growth,positive,1787
524,6.0,optimum,positive,1787
525,5.2-5.5,optimum,positive,1801
526,9,growth,positive,1812
527,7.0-7.5,optimum,positive,1813
528,6.5-6.8,optimum,positive,1814
529,10,growth,no,1814
530,4.5-8.0,growth,positive,1815
531,7.0,optimum,positive,1815
532,6.0-8.0,growth,positive,1816
533,7.0,optimum,positive,1816
534,6.0-8.0,growth,positive,1817
535,6.0-9.0,growth,positive,1829
536,7.0-8.0,optimum,positive,1829
537,7.0,optimum,positive,1830
538,6.0-9.0,growth,positive,1830
539,3.0-9.0,growth,positive,1882
540,6.0-7.0,optimum,positive,1882
541,3.0-9.0,growth,positive,1884
542,6.0-7.0,optimum,positive,1884
543,4.0-9.0,growth,positive,1887
544,6.0-7.0,optimum,positive,1887
545,7.0-8.0,optimum,positive,1904
546,5.0-9.0,growth,positive,1904
547,4.5,growth,no,1904
548,9.5,growth,no,1904
549,5.0-8.0,growth,positive,1993
550,5.5-10.5,growth,positive,2055
551,4.0-10.0,growth,positive,2061
552,7.0,optimum,positive,2061
553,2.3-5.4,growth,positive,2090
554,3.5-4.0,optimum,positive,2090
555,7.5,optimum,positive,2225
556,7.5,optimum,positive,2226
557,6.8-7.0,optimum,positive,2339
558,7.5-8.0,optimum,positive,2416
559,7.0-9.0,growth,positive,2416
560,6.8-7.6,growth,positive,2497
561,7.4,optimum,positive,2497
562,7.5,optimum,positive,2827
563,6.0-8.5,growth,positive,2827
564,7.0,optimum,positive,2905
565,5.0-9.0,growth,positive,2905
566,7.0,optimum,positive,2936
567,6.0-9.0,growth,positive,2936
568,6.0-8.0,optimum,positive,2937
569,6.0-9.0,growth,positive,2937
570,7.0-8.0,optimum,positive,2938
571,6.0-10.0,growth,positive,2938
572,5.0-9.0,growth,positive,2952
573,7.0,optimum,positive,2952
574,5.0-10.0,growth,positive,2954
575,6.0-7.0,optimum,positive,2954
576,7.0-8.0,optimum,positive,2972
577,6.0-9.0,growth,positive,2972
578,7.0-7.5,optimum,positive,2982
579,6.0-7.0,optimum,positive,2983
580,5.0-9.0,growth,positive,2984
581,6.0-7.0,optimum,positive,2984
582,7.0,optimum,positive,2985
583,6.0,growth,positive,2985
584,8.0,growth,no,2985
585,6.0-70,growth,positive,2986
586,8.0,growth,no,2986
587,6.5,optimum,positive,2992
588,5.0-9.0,growth,positive,3016
589,7.0,optimum,positive,3016
590,5.0-9.0,growth,positive,3017
591,7.0,optimum,positive,3017
592,4.0,growth,no,3017
593,10.0,growth,no,3017
594,5.0-8.5,growth,positive,3018
595,<6,growth,no,3195
596,7-10,growth,positive,3195
597,5.0-7.5,growth,positive,3841
598,6.5,optimum,positive,3841
599,8.0,optimum,positive,3855
600,6.5,optimum,positive,3855
601,4.0,growth,no,3855
602,9.0,growth,no,3855
603,5.0,growth,no,3858
604,10.5,growth,no,3858
605,6.0-10.3,growth,positive,3901
606,6.8-7.0,optimum,positive,3963
607,7.1-7.6,optimum,positive,3984
608,7.0-7.4,optimum,positive,3987
609,7.0-7.5,optimum,positive,3988
610,7.2-7.9,optimum,positive,4029
611,7.3-7.6,optimum,positive,4030
612,6.3-8.5,growth,positive,4031
613,7.5-7.6,optimum,positive,4031
614,10.2,maximum,positive,4034
615,9.5-9.7,optimum,positive,4034
616,7.0,growth,no,4034
617,8.0-10.0,growth,positive,4064
618,9.5,optimum,positive,4064
619,6.7-10.3,growth,positive,4065
620,8.0-9.0,optimum,positive,4065
621,4.2-7.4,growth,positive,4147
622,5.8-6.2,optimum,positive,4147
623,7.0,optimum,positive,4148
624,5.4-8.4,growth,positive,4149
625,6.8-7.2,optimum,positive,4149
626,6.5-8.5,growth,positive,4150
627,7.0,optimum,positive,4150
628,6.5-8.5,growth,positive,4151
629,7.0,optimum,positive,4165
630,6.5-8.5,growth,positive,4165
631,8.5-9.0,optimum,positive,4167
632,6.5-7.5,growth,positive,4168
633,6.5,optimum,positive,4168
634,6.2-8.0,growth,positive,4170
635,7.1,optimum,positive,4170
636,6.25-7.65,growth,positive,4171
637,7.0,optimum,positive,4171
638,3.8-6.5,growth,positive,4189
639,5.8,optimum,positive,4189
640,4.5-7.0,growth,positive,4190
641,6.0,optimum,positive,4190
642,4.5-7.0,growth,positive,4191
643,5.5,optimum,positive,4191
644,5.4-7.0,growth,positive,4192
645,6.4,optimum,positive,4192
646,5-9,growth,positive,4195
647,7.0,optimum,positive,4195
648,6.5-8.8,growth,positive,4196
