ID_oxygen_tolerance,oxygen_tol,ID_strains
1859,microaerophile,6407
1860,anaerobe,6408
1861,microaerophile,6408
1862,microaerophile,6412
1863,anaerobe,6413
1864,microaerophile,6413
1865,anaerobe,6414
1866,microaerophile,6414
1867,anaerobe,6415
1868,microaerophile,6415
1869,anaerobe,6416
1870,microaerophile,6416
1871,anaerobe,6417
1872,anaerobe,6418
1873,anaerobe,6419
1874,anaerobe,6420
1875,anaerobe,6441
1877,anaerobe,6442
1878,anaerobe,6448
1879,microaerophile,6448
1880,anaerobe,6449
1881,microaerophile,6449
1882,anaerobe,6450
1883,microaerophile,6450
1884,anaerobe,6451
1885,microaerophile,6451
1886,anaerobe,6452
1887,microaerophile,6452
1888,anaerobe,6453
1889,microaerophile,6453
1891,anaerobe,6454
1893,microaerophile,6454
1894,anaerobe,6465
1895,microaerophile,6465
1896,anaerobe,6466
1897,anaerobe,6467
1898,microaerophile,6467
1899,anaerobe,6471
1900,microaerophile,6471
1901,anaerobe,6475
1902,microaerophile,6475
1903,microaerophile,6489
1904,microaerophile,6490
1905,microaerophile,6495
1906,microaerophile,6496
1907,microaerophile,6501
1908,microaerophile,6505
1909,anaerobe,6510
1910,anaerobe,6511
1911,anaerobe,6512
1912,microaerophile,6512
1913,anaerobe,6519
1914,microaerophile,6519
1915,anaerobe,6521
1916,microaerophile,6521
1917,anaerobe,6522
1918,microaerophile,6522
1919,anaerobe,6523
1920,microaerophile,6523
1921,anaerobe,6524
1922,microaerophile,6524
1923,anaerobe,6525
1924,microaerophile,6527
1925,anaerobe,6530
1926,microaerophile,6530
1927,anaerobe,6536
1928,microaerophile,6544
1929,anaerobe,6561
1930,microaerophile,6561
1931,anaerobe,6563
1932,anaerobe,6566
1933,anaerobe,6567
1934,microaerophile,6579
1936,anaerobe,6580
1938,anaerobe,6581
1939,microaerophile,6595
1940,microaerophile,6597
1941,anaerobe,6598
1942,microaerophile,6598
1943,microaerophile,6599
1944,anaerobe,6601
1945,microaerophile,6601
1946,microaerophile,6602
