ID_enzymes,enzyme,activity,ec_number,exoenzyme,production,ID_strains
28827,beta-galactosidase,-,3.2.1.23,NULL,NULL,140748
28828,beta-glucuronidase,-,3.2.1.31,NULL,NULL,140748
28829,alpha-glucosidase,-,3.2.1.20,NULL,NULL,140748
28830,beta-glucosidase,-,3.2.1.21,NULL,NULL,140748
28831,N-acetyl-beta-glucosaminidase,-,3.2.1.52,NULL,NULL,140748
28832,alpha-mannosidase,-,3.2.1.24,NULL,NULL,140748
28833,alpha-fucosidase,-,3.2.1.51,NULL,NULL,140748
28834,catalase,+,1.11.1.6,NULL,NULL,140749
28835,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,140749
28836,"leucine arylamidase",+,3.4.11.1,NULL,NULL,140749
28837,"esterase Lipase (C 8)",+,NULL,NULL,NULL,140749
28838,beta-galactosidase,+,3.2.1.23,NULL,NULL,140749
28839,"valine arylamidase",+,NULL,NULL,NULL,140749
28840,naphthol-AS-BI-phosphohydrolase,+,NULL,NULL,NULL,140749
28841,"cytochrome oxidase",-,1.9.3.1,NULL,NULL,140749
28842,"arginine dihydrolase",-,3.5.3.6,NULL,NULL,140749
28843,"lysine decarboxylase",-,4.1.1.18,NULL,NULL,140749
28844,"ornithine decarboxylase",-,4.1.1.17,NULL,NULL,140749
28845,urease,-,3.5.1.5,NULL,NULL,140749
28846,"tryptophan deaminase",-,4.1.99.1,NULL,NULL,140749
28847,gelatinase,-,NULL,NULL,NULL,140749
28848,catalase,+,1.11.1.6,NULL,NULL,140751
28849,"cytochrome oxidase",-,1.9.3.1,NULL,NULL,140751
28850,"acid phosphatase",+,3.1.3.2,NULL,NULL,140751
28851,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,140751
28852,"esterase (C 4)",+,NULL,NULL,NULL,140751
28853,"esterase Lipase (C 8)",+,NULL,NULL,NULL,140751
28854,"leucine arylamidase",+,3.4.11.1,NULL,NULL,140751
28855,"valine arylamidase",+,NULL,NULL,NULL,140751
28856,"cystine arylamidase",+,3.4.11.3,NULL,NULL,140751
28857,naphthol-AS-BI-phosphohydrolase,+,NULL,NULL,NULL,140751
28858,alpha-glucosidase,+,3.2.1.20,NULL,NULL,140751
28859,gelatinase,+,NULL,NULL,NULL,140751
28860,urease,+,3.5.1.5,NULL,NULL,140751
28861,alpha-chymotrypsin,-,3.4.21.1,NULL,NULL,140751
28862,beta-galactosidase,-,3.2.1.23,NULL,NULL,140751
28863,trypsin,-,3.4.21.4,NULL,NULL,140751
28864,catalase,+,1.11.1.6,NULL,NULL,140752
28865,"cytochrome oxidase",-,1.9.3.1,NULL,NULL,140752
28866,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,140752
28867,"acid phosphatase",+,3.1.3.2,NULL,NULL,140752
28868,"esterase (C 4)",+,NULL,NULL,NULL,140752
28869,"esterase Lipase (C 8)",+,NULL,NULL,NULL,140752
28870,"leucine aminopeptidase",+,3.4.1.1,NULL,NULL,140752
28871,"valine aminopeptidase",+,NULL,NULL,NULL,140752
28872,alpha-glucosidase,+,3.2.1.20,NULL,NULL,140752
28873,"cystine aminopeptidase",+/-,3.4.11.3,NULL,NULL,140752
28874,naphthol-AS-BI-phosphohydrolase,+/-,NULL,NULL,NULL,140752
28875,beta-glucosidase,+/-,3.2.1.21,NULL,NULL,140752
28876,N-acetyl-beta-glucosaminidase,+/-,3.2.1.52,NULL,NULL,140752
28877,beta-glucuronidase,-,3.2.1.31,NULL,NULL,140752
28878,alpha-fucosidase,-,3.2.1.51,NULL,NULL,140752
28879,"lipase (C 14)",-,NULL,NULL,NULL,140752
28880,trypsin,-,3.4.21.4,NULL,NULL,140752
28881,alpha-chymotrypsin,-,3.4.21.1,NULL,NULL,140752
28882,alpha-galactosidase,-,3.2.1.22,NULL,NULL,140752
28883,beta-galactosidase,-,3.2.1.23,NULL,NULL,140752
28884,alpha-mannosidase,-,3.2.1.24,NULL,NULL,140752
28885,beta-galactosidase,+,3.2.1.23,NULL,NULL,140752
28886,"arginine dihydrolase",+,3.5.3.6,NULL,NULL,140752
28887,"lysine decarboxylase",+,4.1.1.18,NULL,NULL,140752
28888,"ornithine decarboxylase",+,4.1.1.17,NULL,NULL,140752
28889,urease,+,3.5.1.5,NULL,NULL,140752
28890,"tryptophan decarboxylase",+,4.1.1.27,NULL,NULL,140752
28891,gelatinase,+,NULL,NULL,NULL,140752
28892,beta-glucosidase,+,3.2.1.21,NULL,NULL,140752
