"Dataset","Number of the triple","Time"
"met_util","3550000","70.28134846687317"
"met_util","3560000","70.42838048934937"
"met_util","3570000","70.57534694671631"
"met_util","3580000","70.72138381004333"
"met_util","3590000","70.86335015296936"
"met_util","3600000","71.00738310813904"
"met_util","3610000","71.15338492393494"
"met_util","3620000","71.30238151550293"
"met_util","3630000","71.44435238838196"
"met_util","3640000","71.59035181999207"
"met_util","3650000","71.73335194587708"
"met_util","3660000","71.87638282775879"
"met_util","3670000","72.01535177230835"
"met_util","3680000","72.15199589729309"
"met_util","3690000","72.30299615859985"
"met_util","3700000","72.45000886917114"
"met_util","3710000","72.59501910209656"
"met_util","3720000","72.73901867866516"
"met_util","3730000","72.88802194595337"
"met_util","3740000","73.0350239276886"
"met_util","3750000","73.18802070617676"
"met_util","3760000","73.32205414772034"
"met_util","3770000","73.46802496910095"
"met_util","3780000","73.62758564949036"
"met_util","3790000","73.78462362289429"
"met_util","3800000","73.93158745765686"
"met_util","3810000","74.07858514785767"
"met_util","3820000","74.22758555412292"
"met_util","3830000","74.37358808517456"
"met_util","3840000","74.52461910247803"
"met_util","3850000","74.66358923912048"
"met_util","3860000","74.81262731552124"
"met_util","3870000","74.95158743858337"
"met_util","3880000","75.1205894947052"
"met_util","3890000","75.26558995246887"
"met_util","3900000","75.40958738327026"
"met_util","3910000","75.5556092262268"
"met_util","3920000","75.70159387588501"
"met_util","3930000","75.846595287323"
"met_util","3940000","75.99559283256531"
"met_util","3950000","76.14167022705078"
"met_util","3960000","76.28363966941833"
"met_util","3970000","76.43466687202454"
"met_util","3980000","76.5806634426117"
"met_util","3990000","76.72766637802124"
"met_util","4000000","76.8716630935669"
"met_util","4010000","77.01170611381531"
"met_util","4020000","77.15071058273315"
"met_util","4030000","77.30770945549011"
"met_util","4040000","77.45367503166199"
"met_util","4050000","77.60167479515076"
"met_util","4060000","77.74667596817017"
"met_util","4070000","77.89067959785461"
"met_util","4080000","78.030677318573"
"met_util","4090000","78.18067765235901"
"met_util","4100000","78.33567953109741"
"met_util","4110000","78.48219418525696"
"met_util","4120000","78.63419556617737"
"met_util","4130000","78.78019309043884"
"met_util","4140000","78.92719626426697"
"met_util","4150000","79.0761947631836"
"met_util","4160000","79.21619701385498"
"met_util","4170000","79.36219310760498"
"met_util","4180000","79.52419567108154"
"met_util","4190000","79.67819499969482"
"met_util","4200000","79.8252305984497"
"met_util","4210000","79.97023391723633"
"met_util","4220000","80.12023138999939"
"met_util","4230000","80.26523685455322"
"met_util","4240000","80.41623854637146"
"met_util","4250000","80.55823969841003"
"met_util","4260000","80.70426964759827"
"met_util","4270000","80.85285711288452"
"met_util","4280000","81.00085759162903"
"met_util","4290000","81.14985775947571"
"met_util","4300000","81.2988588809967"
"met_util","4310000","81.44285655021667"
"met_util","4320000","81.58889126777649"
"met_util","4330000","81.73385763168335"
"met_util","4340000","81.87689304351807"
"met_util","4350000","82.02786087989807"
"met_util","4360000","82.18186044692993"
"met_util","4370000","82.32486319541931"
"met_util","4380000","82.47185850143433"
"met_util","4390000","82.61885905265808"
"met_util","4400000","82.76589369773865"
"met_util","4410000","82.9153733253479"
"met_util","4420000","83.0554141998291"
"met_util","4430000","83.20237755775452"
"met_util","4440000","83.34637594223022"
"met_util","4450000","83.50837779045105"
"met_util","4460000","83.68538117408752"
"met_util","4470000","83.86041259765625"
"met_util","4480000","84.01841282844543"
"met_util","4490000","84.17041492462158"
"met_util","4500000","84.32538080215454"
"met_util","4510000","84.47038125991821"
"met_util","4520000","84.63037872314453"
"met_util","4530000","84.7914125919342"
"met_util","4540000","84.94741654396057"
"met_util","4550000","85.09941482543945"
"met_util","4560000","85.25438451766968"
"met_util","4570000","85.40538096427917"
"met_util","4580000","85.55941724777222"
"met_util","4590000","85.71238207817078"
"met_util","4600000","85.86541557312012"
"met_util","4610000","86.01438283920288"
"met_util","4620000","86.1733865737915"
"origin","4630000","87.81996488571167"
"origin","4640000","88.0009982585907"
"origin","4650000","88.18496704101562"
"origin","4660000","88.37200021743774"
"origin","4670000","88.55096364021301"
"origin","4680000","88.73196601867676"
"origin","4690000","88.90100121498108"
"origin","4700000","89.07400298118591"
"origin","4710000","89.29096984863281"
"origin","4720000","89.48796677589417"
"origin","4730000","89.67698550224304"
"origin","4740000","89.85997152328491"
"origin","4750000","90.03697109222412"
"origin","4760000","90.21197271347046"
"origin","4770000","90.38998603820801"
"origin","4780000","90.56798553466797"
"origin","4790000","90.74598693847656"
"origin","4800000","90.9159882068634"
"origin","4810000","91.08998417854309"
"origin","4820000","91.25898551940918"
"origin","4830000","91.4270236492157"
"origin","4840000","91.600989818573"
"origin","4850000","91.77599000930786"
"origin","4860000","91.96099853515625"
"origin","4870000","92.13364219665527"
"origin","4880000","92.30464267730713"
"origin","4890000","92.47364354133606"
"origin","4900000","92.6586389541626"
"origin","4910000","92.85964035987854"
"origin","4920000","93.06164169311523"
"origin","4930000","93.24725317955017"
"origin","4940000","93.43226146697998"
"origin","4950000","93.62029671669006"
"origin","4960000","93.79526281356812"
"origin","4970000","93.98226618766785"
