PK_IS_link,Cat1_link,Cat2_link,Cat3_link,ID_strains,ID_origin
676,5,39.0,207.0,322,14569
677,4,29.0,,323,14568
678,6,45.0,258.0,323,14568
679,2,14.0,69.0,324,750
680,2,14.0,87.0,324,750
681,1,10.0,312.0,326,5325
682,1,10.0,65.0,326,5325
683,6,46.0,268.0,328,7591
684,2,17.0,113.0,329,380
685,2,17.0,113.0,330,789
686,4,33.0,180.0,330,789
687,5,42.0,237.0,330,789
688,1,1.0,2.0,337,3891
689,2,14.0,84.0,337,3891
690,1,3.0,,338,5030
691,1,10.0,312.0,338,5030
692,2,17.0,113.0,339,367
693,2,17.0,113.0,340,368
694,2,17.0,113.0,341,369
695,1,10.0,,342,564
696,4,33.0,,342,564
697,4,31.0,170.0,343,3830
698,5,40.0,211.0,343,3830
699,2,17.0,104.0,344,3286
700,1,10.0,61.0,345,3287
701,1,10.0,61.0,346,3347
702,2,17.0,104.0,347,3348
703,1,2.0,8.0,348,2926
704,1,10.0,312.0,348,2926
705,7,53.0,,348,2926
706,1,5.0,305.0,349,13425
707,1,10.0,65.0,349,13425
708,2,14.0,82.0,349,13425
709,7,53.0,,349,13425
710,1,1.0,1.0,350,14653
711,2,17.0,113.0,350,14653
712,4,33.0,180.0,350,14653
713,2,17.0,113.0,351,15160
714,2,17.0,113.0,352,251
715,2,17.0,113.0,353,583
717,4,29.0,,354,23501
718,5,44.0,256.0,354,23501
719,5,39.0,205.0,354,23501
720,4,29.0,,355,2160
721,5,40.0,209.0,355,2160
722,4,29.0,,356,6100
723,6,45.0,265.0,356,6100
724,2,17.0,113.0,357,3798
725,2,14.0,,358,1838
726,1,8.0,48.0,359,2582
727,1,10.0,312.0,359,2582
728,1,8.0,,360,13911
729,1,10.0,312.0,360,13911
730,2,14.0,87.0,361,23505
731,2,14.0,91.0,361,23505
732,2,14.0,320.0,361,23505
733,1,9.0,51.0,362,23506
734,1,9.0,54.0,362,23506
736,2,14.0,85.0,362,2584
737,2,17.0,113.0,363,15140
738,1,1.0,1.0,364,15107
739,2,17.0,113.0,364,15107
740,4,33.0,180.0,364,15107
741,2,14.0,91.0,365,15258
742,3,18.0,,366,2789
743,4,31.0,164.0,366,2789
744,5,43.0,,366,2789
745,3,18.0,,368,3732
746,3,21.0,,368,3732
747,4,31.0,161.0,376,3731
748,5,40.0,214.0,376,3731
749,4,26.0,,377,3053
750,5,41.0,,377,3053
751,6,45.0,,377,3053
752,4,26.0,141.0,378,3054
753,5,41.0,233.0,378,3054
754,3,18.0,,379,3055
755,3,21.0,,379,3055
756,5,40.0,209.0,379,3055
757,2,17.0,113.0,380,3095
758,4,29.0,,381,3733
759,6,45.0,258.0,381,3733
760,1,3.0,,382,3535
761,2,14.0,85.0,382,3535
762,2,14.0,87.0,382,3535
763,1,1.0,3.0,383,5404
764,2,17.0,113.0,383,5404
765,1,2.0,9.0,384,5447
768,4,29.0,149.0,385,23516
769,6,47.0,277.0,385,23516
770,1,3.0,,386,6020
771,1,8.0,48.0,386,6020
772,1,10.0,65.0,386,6020
773,1,1.0,1.0,387,14891
774,2,17.0,113.0,387,14891
775,4,33.0,180.0,387,14891
776,1,2.0,9.0,388,15183
777,1,10.0,64.0,388,15183
778,1,2.0,9.0,389,15186
779,1,10.0,64.0,389,15186
780,1,6.0,25.0,390,13724
781,1,6.0,24.0,390,13724
782,2,17.0,113.0,390,13724
783,2,14.0,81.0,391,3076
784,2,14.0,87.0,391,3076
785,1,3.0,,392,3361
786,2,17.0,108.0,392,3361
787,2,14.0,81.0,393,3890
788,1,6.0,24.0,394,5029
789,2,14.0,81.0,394,5029
790,2,14.0,79.0,395,14562
791,7,55.0,,395,14562
792,2,14.0,81.0,396,4905
793,2,14.0,91.0,396,4905
794,2,14.0,81.0,397,4907
795,2,14.0,91.0,397,4907
796,4,30.0,159.0,398,13953
797,1,7.0,27.0,399,721
798,6,48.0,280.0,399,721
799,1,1.0,2.0,400,1051
800,2,17.0,113.0,400,1051
801,1,1.0,2.0,401,1052
802,2,17.0,113.0,401,1052
803,1,1.0,2.0,402,1053
804,2,17.0,113.0,402,1053
805,1,1.0,2.0,403,1089
806,2,17.0,113.0,403,1089
807,2,17.0,113.0,404,1090
808,2,17.0,113.0,406,3301
809,7,51.0,,406,3301
810,7,56.0,,406,3301
811,2,17.0,113.0,407,3302
812,7,51.0,,407,3302
813,7,56.0,,407,3302
814,2,17.0,113.0,408,3303
815,7,51.0,,408,3303
816,7,56.0,,408,3303
817,2,17.0,116.0,409,3457
818,1,10.0,64.0,410,3324
819,1,10.0,312.0,410,3324
820,1,10.0,65.0,410,3324
821,2,17.0,113.0,412,3518
822,2,17.0,116.0,412,3518
823,4,33.0,,413,3799
824,5,42.0,236.0,413,3799
825,1,7.0,27.0,414,4060
826,7,51.0,,414,4060
827,2,17.0,113.0,415,3039
828,2,14.0,90.0,416,143
829,7,51.0,,416,143
830,7,57.0,,416,143
831,2,14.0,90.0,417,144
832,7,51.0,,417,144
833,7,57.0,,417,144
834,2,14.0,90.0,419,145
835,7,51.0,,419,145
836,7,57.0,,419,145
837,2,14.0,90.0,420,146
838,7,51.0,,420,146
839,7,57.0,,420,146
840,2,17.0,113.0,421,147
841,2,17.0,116.0,421,147
842,7,51.0,,421,147
843,2,17.0,113.0,422,148
844,2,17.0,116.0,422,148
845,7,51.0,,422,148
846,2,17.0,113.0,423,149
847,2,17.0,116.0,423,149
848,7,51.0,,423,149
849,1,7.0,27.0,424,4285
850,5,42.0,237.0,424,4285
851,1,5.0,23.0,425,4963
852,2,14.0,90.0,425,4963
853,7,57.0,,425,4963
854,2,17.0,113.0,427,5732
855,1,7.0,37.0,428,5947
856,1,1.0,1.0,429,5948
857,2,17.0,113.0,429,5948
858,4,33.0,180.0,429,5948
859,1,7.0,27.0,430,5951
860,1,1.0,1.0,431,5952
861,2,17.0,113.0,431,5952
862,4,33.0,180.0,431,5952
863,1,1.0,1.0,432,5953
864,2,17.0,113.0,432,5953
865,4,33.0,180.0,432,5953
866,1,1.0,1.0,433,5954
867,2,17.0,113.0,433,5954
868,4,33.0,180.0,433,5954
869,2,17.0,113.0,434,13696
870,2,17.0,113.0,435,13517
871,2,17.0,116.0,435,13517
872,2,17.0,116.0,436,845
875,2,14.0,87.0,437,23519
876,2,14.0,91.0,437,23519
879,2,14.0,87.0,438,23520
880,2,14.0,91.0,438,23520
881,2,14.0,81.0,439,13774
882,2,14.0,89.0,439,13774
883,4,29.0,,440,4819
884,2,14.0,87.0,441,6736
885,2,14.0,91.0,441,6736
886,1,7.0,31.0,442,14674
887,2,17.0,113.0,443,14810
888,2,14.0,81.0,444,1595
889,2,14.0,81.0,445,5412
890,2,14.0,81.0,446,4681
891,2,14.0,81.0,447,4713
892,2,14.0,81.0,448,4752
893,4,30.0,153.0,448,4752
894,2,14.0,81.0,449,23522
897,1,8.0,40.0,450,23523
898,2,14.0,81.0,450,23523
899,2,15.0,,450,23523
902,4,23.0,,451,23524
903,8,61.0,298.0,451,23524
904,2,14.0,78.0,451,3951
905,2,14.0,81.0,451,3951
906,2,14.0,81.0,452,4342
907,4,30.0,153.0,452,4342
908,6,45.0,,452,4342
909,2,14.0,81.0,453,5098
910,2,14.0,81.0,454,15283
911,2,14.0,87.0,454,15283
912,7,54.0,,454,15283
913,8,61.0,298.0,454,15283
914,2,14.0,87.0,455,5239
915,2,14.0,91.0,455,5239
916,2,14.0,87.0,456,5247
917,2,14.0,91.0,456,5247
918,2,14.0,81.0,457,1933
