ID_kit_api_ID32E,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,cupule_28,cupule_29,cupule_30,cupule_31,cupule_32,ID_strains,ID_reference,manual_annotation,created_ID32E,modify_in_pgsql_ID32E,ID_tbl_api_ID32E,last_change
1019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,144987,48739,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1020,-,-,+,+,-,+,-,-,+,+,+,+,+,+,-,+,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,+,145009,48763,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1021,-,-,-,-,-,+,+,-,+,+,+,+,-,-,-,+,-,-,+,+,-,+,-,-,+,+,+,+,+,+,-,+,141539,44587,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1022,-,+,-,+,-,-,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,145149,48930,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1023,+,+,+,-,-,-,-,-,+,+,-,+,-,-,-,-,+,+,+,+,-,-,-,+,+,+,-,-,-,-,-,-,145150,48931,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1024,+,-,+,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,-,+,-,-,145219,49015,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1025,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,+,+,+,-,-,+,+,+,-,-,-,-,-,145238,49034,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1026,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,145288,49098,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1027,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,145289,49099,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1028,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,145290,49100,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1029,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,+,145291,49101,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
