ID_kit_api_coryne,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_COR,modify_in_pgsql_COR,ID_tbl_api_COR,last_change
161,,-,+/-,+/-,-,+,+,-,+,-,+/-,,,,,,,,+,,,11113,18608,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
162,,+,+,-,-,+,+,-,-,+,+,,,,,,,,-,,,7601,18609,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
163,,-,-,-,-,+,-,-,-,+,+,,,,,,,,-,,,7604,18610,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
164,,-,-,+,-,+,+,-,+,+,+,,,,,,,,+,,,11115,18611,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
165,-,+,+,+,+,+,+,-,-,+,-,,+,-,-,-,-,-,+,-,,7332,18612,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
166,-,-,-,+,-,-,+,+,+,-,-,,-,-,-,-,-,-,-,-,,2373,18613,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
167,-,-,-,+,-,-,+,-,-,-,+,,-,-,-,-,-,-,+,-,,11144,18614,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
168,-,+,+,+,+,+,+,-,+,-,+,,-,-,-,-,-,-,+,-,,7257,18616,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
169,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,7355,18617,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
170,-,+/-,-,+,-,+,+,+,+,+,+,,-,-,-,-,-,-,-,-,,17737,18618,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
171,-,-,+,-,-,+,+,+,+,+,-,,+,-,+,-,+,+,+,+,,7642,18619,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
