ID_kit_api_rID32A,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,cupule_28,cupule_29,ID_strains,ID_reference,manual_annotation,created_rID32A,modify_in_pgsql_rID32A,ID_tbl_api_rID32A,last_change
5961,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,+,-,-,+,-,132849,24637,1,2017-03-20 00:00:00,2017-03-27 13:00:03,962.0,2019-11-20 06:22:51
5960,-,-,+,+,-,+,+,-,-,+,-,-,-,-,-,-,+/-,-,-,-,-,-,+/-,-,-,-,-,-,-,133035,24823,1,2015-01-26 00:00:00,2017-03-23 21:05:10,961.0,2019-11-20 06:22:51
5959,-,-,+,+,-,+,+,+,-,+,+,+,+,+,-,+,+,-,-,+,-,-,-,-,+,-,-,+,-,1604,2742,1,2017-03-08 00:00:00,2017-03-20 12:20:05,960.0,2019-11-20 06:22:51
5958,-,-,+,+,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,131530,22757,1,2015-02-15 00:00:00,2017-02-28 07:45:05,959.0,2019-11-20 06:22:51
5957,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,131531,22758,1,2015-01-16 00:00:00,2017-02-27 08:50:05,958.0,2019-11-20 06:22:51
5956,-,+/-,+,+,-,+,+,+,-,-,-,-,+,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,-,158516,65193,1,2017-02-16 00:00:00,2017-02-22 07:30:05,957.0,2019-11-20 06:22:51
5955,-,-,-,-,-,+,-,-,-,-,-,+/-,-,+,-,+,+,+,-,-,-,-,-,-,+,-,-,+,-,12563,16580,1,2017-02-07 00:00:00,2017-02-14 12:05:05,955.0,2019-11-20 06:22:51
5954,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,132460,24249,1,2017-02-13 00:00:00,2017-02-13 13:40:05,954.0,2019-11-20 06:22:51
5953,-,-,+,+,-,+,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17156,978,1,2017-01-18 00:00:00,2017-02-03 06:15:05,953.0,2019-11-20 06:22:51
5952,-,-,+,+,-,+,+,+,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,6366,5410,1,2017-01-12 00:00:00,2017-01-12 15:05:05,952.0,2019-11-20 06:22:51
5951,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+/-,-,-,-,6369,6627,1,2017-01-12 00:00:00,2017-01-12 15:05:05,951.0,2019-11-20 06:22:51
5950,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,+,-,-,+/-,-,132059,23850,1,2016-06-14 00:00:00,2016-12-15 08:50:05,950.0,2019-11-20 06:22:51
5949,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,+/-,+/-,+,+,+,+,+,+/-,+,+,1582,8782,1,2016-12-14 00:00:00,2016-12-14 12:25:05,949.0,2019-11-20 06:22:51
5948,-,-,+,+,-,+,+,+,-,+,+/-,+/-,-,+,-,-,+,-,-,+,-,-,-,-,+,-,-,+/-,-,132467,24256,1,2014-06-27 00:00:00,2016-12-05 11:45:05,948.0,2019-11-20 06:22:51
5947,-,-,+,+,-,+,+,+,-,+,+,+,+,+,-,+,+,+,-,+,+/-,+,-,-,+,-,+/-,-,-,1599,714,1,2016-12-01 00:00:00,2016-12-01 14:50:05,947.0,2019-11-20 06:22:51
5946,-,-,-,+,+/-,+,-,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,-,12562,16819,1,2016-11-23 00:00:00,2016-11-29 10:30:05,946.0,2019-11-20 06:22:51
5945,-,-,-,-,-,+,-,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,131529,22756,1,2016-11-23 00:00:00,2016-11-28 14:15:05,945.0,2019-11-20 06:22:51
5944,-,-,+,+,-,+,+/-,+,-,+,-,-,-,+,-,+,+,+/-,-,+,-,+,-,-,+,-,-,+/-,-,1606,6174,1,2016-11-23 00:00:00,2016-11-23 12:35:04,944.0,2019-11-20 06:22:51
5943,-,-,+,+,-,-,+,+,-,+,-,-,-,+,-,-,+,-,-,+,-,-,-,-,+,-,-,+/-,-,12552,17304,1,2016-11-14 00:00:00,2016-11-23 08:55:04,943.0,2019-11-20 06:22:51
5942,-,+,-,+,-,-,-,-,-,+,-,-,-,-,+,+,-,-,+,-,-,-,-,-,+,+,-,-,-,12636,919,1,2016-11-14 00:00:00,2016-11-14 07:10:04,942.0,2019-11-20 06:22:51
5941,-,-,+,+,-,+,+,+,+,+,+,+,+,+,-,+,+,-,-,+,-,-,-,-,+,-,-,+,-,1609,6945,1,2016-10-26 00:00:00,2016-11-11 08:25:05,941.0,2019-11-20 06:22:51
5940,-,-,-,-,-,+/-,-,-,-,-,+,-,-,-,-,-,-,+,+,+,+,+,-,+,+,+,-,+,-,12644,8677,1,2016-10-25 00:00:00,2016-10-25 06:30:05,935.0,2019-11-20 06:22:51
5939,-,-,+,+,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18071,8933,1,2016-10-25 00:00:00,2016-10-25 06:25:05,934.0,2019-11-20 06:22:51
5938,-,-,+,+,-,+,+/-,+,-,+,+,+/-,+,-,-,-,+,+,-,+,-,+,+/-,-,+,+/-,+,+/-,-,132203,23992,1,2016-05-11 00:00:00,2016-10-14 13:30:04,933.0,2019-11-20 06:22:51
5937,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,5761,8851,1,2016-09-13 00:00:00,2016-10-05 08:15:05,932.0,2019-11-20 06:22:51
5936,-,-,+,+,+/-,+,+,+,-,-,-,+/-,-,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,12547,7429,1,2016-09-08 00:00:00,2016-09-22 13:10:05,931.0,2019-11-20 06:22:51
5935,-,-,-,+/-,-,-,-,-,+/-,+,+,-,-,-,+,+,-,+,+,-,-,-,-,-,+,+,-,+,-,131516,22743,1,2016-09-08 00:00:00,2016-09-13 11:10:04,930.0,2019-11-20 06:22:51
5934,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,157667,64236,1,2016-08-02 00:00:00,2016-09-09 08:20:04,928.0,2019-11-20 06:22:51
