ID_halophily,halophily,salt,salt_concentration,rgStart,rgEnd,salt_concentration_unit,ability,test_type,ID_strains,ID_reference,manual_annotation,last_change
243,,NaCl,2.5,2.5,2.5,%,positive,maximum,13238,20071,1,2016-08-15 08:37:37
244,,NaCl,7.5,7.5,7.5,%,positive,maximum,13239,21424,1,2016-08-15 08:37:37
245,,NaCl,5,5.0,5.0,%,positive,maximum,13241,20077,1,2016-08-15 08:37:37
246,,NaCl,5,5.0,5.0,%,positive,maximum,13252,19680,1,2016-08-15 08:37:37
247,,NaCl,5,5.0,5.0,%,positive,maximum,13270,21392,1,2016-08-15 08:37:37
248,,NaCl,5,5.0,5.0,%,positive,maximum,13273,21390,1,2016-08-15 08:37:37
249,,NaCl,2.5,2.5,2.5,%,positive,maximum,13288,20024,1,2016-08-15 08:37:37
250,,NaCl,2.5,2.5,2.5,%,positive,maximum,13290,19600,1,2016-08-15 08:37:37
251,,NaCl,2.5,2.5,2.5,%,positive,maximum,13291,20008,1,2016-08-15 08:37:37
252,,NaCl,2.5,2.5,2.5,%,positive,maximum,13292,19638,1,2016-08-15 08:37:37
253,,NaCl,2.5,2.5,2.5,%,positive,maximum,13293,19973,1,2016-08-15 08:37:37
254,,NaCl,2.5,2.5,2.5,%,positive,maximum,13294,19605,1,2016-08-15 08:37:37
255,,NaCl,0,0.0,0.0,%,positive,growth,13295,19606,1,2016-12-15 08:14:08
256,,NaCl,2.5,2.5,2.5,%,positive,maximum,13297,19612,1,2016-08-15 08:37:37
257,,NaCl,2.5,2.5,2.5,%,positive,maximum,13298,18469,1,2016-08-15 08:37:37
258,,NaCl,2.5,2.5,2.5,%,positive,maximum,13308,20026,1,2016-08-15 08:37:37
259,,NaCl,7.5,7.5,7.5,%,positive,maximum,13309,19626,1,2016-08-15 08:37:37
260,,NaCl,0,0.0,0.0,%,positive,growth,13354,19558,1,2016-12-15 08:14:08
261,,NaCl,2.5,2.5,2.5,%,positive,maximum,13356,18481,1,2016-08-15 08:37:37
262,,NaCl,5,5.0,5.0,%,positive,maximum,13359,19601,1,2016-08-15 08:37:37
263,,NaCl,0,0.0,0.0,%,positive,growth,13360,19937,1,2016-12-15 08:14:08
264,,NaCl,5,5.0,5.0,%,positive,maximum,13362,18496,1,2016-08-15 08:37:37
265,,NaCl,2.5,2.5,2.5,%,positive,maximum,13368,19627,1,2016-08-15 08:37:37
266,,NaCl,5,5.0,5.0,%,positive,maximum,13370,20031,1,2016-08-15 08:37:37
2667,,NaCl,0,0.0,0.0,%,positive,growth,5578,29215,1,2017-12-04 11:19:31
268,,NaCl,5,5.0,5.0,%,positive,maximum,13404,21391,1,2016-08-15 08:37:37
269,,NaCl,0,0.0,0.0,%,positive,growth,13405,21394,1,2016-12-15 08:14:08
270,,NaCl,0,0.0,0.0,%,positive,growth,13406,21428,1,2016-12-15 08:14:08
271,,NaCl,10,10.0,10.0,%,positive,maximum,13408,21427,1,2016-08-15 08:37:37
272,,NaCl,7.5,7.5,7.5,%,positive,maximum,13414,18736,1,2016-08-15 08:37:37
273,,NaCl,7.5,7.5,7.5,%,positive,maximum,13424,19954,1,2016-08-15 08:37:37
274,,NaCl,7.5,7.5,7.5,%,positive,maximum,13430,19628,1,2016-08-15 08:37:37
275,,NaCl,5,5.0,5.0,%,positive,maximum,13433,20082,1,2016-08-15 08:37:37
276,,NaCl,10,10.0,10.0,%,positive,maximum,13441,19949,1,2016-08-15 08:37:37
277,,NaCl,2.5,2.5,2.5,%,positive,maximum,13444,18604,1,2016-08-15 08:37:37
278,,NaCl,2.5,2.5,2.5,%,positive,maximum,13447,19573,1,2016-08-15 08:37:37
279,,NaCl,2.5,2.5,2.5,%,positive,maximum,13451,19608,1,2016-08-15 08:37:37
280,,NaCl,2.5,2.5,2.5,%,positive,maximum,13454,19993,1,2016-08-15 08:37:37
281,,NaCl,5,5.0,5.0,%,positive,maximum,13455,20023,1,2016-08-15 08:37:37
