ID_enzymes,enzyme,activity,ec_number,exoenzyme,production,ID_strains,ID_reference,manual_annotation,last_change
226,catalase,+,1.11.1.6,,,134,7520,1,2016-06-01 13:08:03
227,catalase,-,1.11.1.6,,,141,16359,1,2016-06-01 13:08:03
228,catalase,+,1.11.1.6,,,143,17958,1,2016-06-01 13:08:03
229,catalase,+,1.11.1.6,,,297,1075,1,2016-06-01 13:08:03
230,catalase,+,1.11.1.6,,,300,18151,1,2016-06-01 13:08:03
231,catalase,+,1.11.1.6,,,301,18152,1,2016-06-01 13:08:03
232,catalase,+,1.11.1.6,,,302,18153,1,2016-06-01 13:08:03
233,catalase,+,1.11.1.6,,,303,18156,1,2016-06-01 13:08:03
234,catalase,+,1.11.1.6,,,304,18157,1,2016-06-01 13:08:03
235,catalase,+,1.11.1.6,,,305,18159,1,2016-06-01 13:08:03
236,catalase,+,1.11.1.6,,,306,18160,1,2016-06-01 13:08:03
237,catalase,+,1.11.1.6,,,307,18161,1,2016-06-01 13:08:03
238,catalase,+,1.11.1.6,,,308,18173,1,2016-06-01 13:08:03
239,catalase,+,1.11.1.6,,,320,3912,1,2016-06-01 13:08:03
240,catalase,+,1.11.1.6,,,366,4030,1,2016-06-01 13:08:03
241,catalase,+,1.11.1.6,,,374,2227,1,2016-06-01 13:08:03
242,catalase,+,1.11.1.6,,,375,3892,1,2016-06-01 13:08:03
243,catalase,+,1.11.1.6,,,376,5042,1,2016-06-01 13:08:03
244,catalase,+,1.11.1.6,,,382,4829,1,2016-06-01 13:08:03
245,catalase,+,1.11.1.6,,,385,17385,1,2016-06-01 13:08:03
246,catalase,-,1.11.1.6,,,1601,769,1,2016-06-01 13:08:03
247,catalase,-,1.11.1.6,,,1608,6783,1,2016-06-01 13:08:03
248,catalase,+,1.11.1.6,,,1638,15668,1,2016-06-01 13:08:03
249,catalase,-,1.11.1.6,,,1640,17242,1,2016-06-01 13:08:03
250,catalase,-,1.11.1.6,,,1641,17241,1,2016-06-01 13:08:03
251,catalase,-,1.11.1.6,,,1642,17243,1,2016-06-01 13:08:03
252,catalase,-,1.11.1.6,,,1643,17325,1,2016-06-01 13:08:03
253,catalase,-,1.11.1.6,,,1644,17324,1,2016-06-01 13:08:03
254,catalase,+,1.11.1.6,,,1780,3002,1,2016-06-01 13:08:03
255,catalase,+,1.11.1.6,,,1889,6650,1,2016-06-01 13:08:03
256,catalase,+,1.11.1.6,,,1898,17416,1,2016-06-01 13:08:03
257,catalase,+,1.11.1.6,,,1899,17417,1,2016-06-01 13:08:03
258,catalase,+,1.11.1.6,,,1900,18066,1,2016-06-01 13:08:03
259,catalase,+,1.11.1.6,,,1901,18065,1,2016-06-01 13:08:03
260,catalase,+,1.11.1.6,,,1903,17372,1,2016-06-01 13:08:03
261,catalase,+,1.11.1.6,,,1906,3094,1,2016-06-01 13:08:03
262,catalase,+,1.11.1.6,,,1907,3520,1,2016-06-01 13:08:03
263,catalase,+,1.11.1.6,,,1908,4812,1,2016-06-01 13:08:03
264,catalase,+,1.11.1.6,,,1909,12671,1,2016-06-01 13:08:03
265,catalase,+,1.11.1.6,,,1911,1642,1,2016-06-01 13:08:03
266,catalase,+,1.11.1.6,,,1912,3265,1,2016-06-01 13:08:03
267,catalase,+,1.11.1.6,,,1916,2896,1,2016-06-01 13:08:03
268,catalase,+,1.11.1.6,,,1917,3621,1,2016-06-01 13:08:03
269,catalase,+,1.11.1.6,,,1919,3624,1,2016-06-01 13:08:03
270,catalase,+,1.11.1.6,,,1927,3521,1,2016-06-01 13:08:03
271,catalase,+,1.11.1.6,,,1934,16746,1,2016-06-01 13:08:03
272,catalase,+,1.11.1.6,,,1938,4037,1,2016-06-01 13:08:03
273,catalase,+,1.11.1.6,,,1941,4980,1,2016-06-01 13:08:03
274,catalase,+,1.11.1.6,,,1945,6282,1,2016-06-01 13:08:03
275,catalase,+,1.11.1.6,,,1946,6283,1,2016-06-01 13:08:03
276,catalase,+,1.11.1.6,,,1947,6284,1,2016-06-01 13:08:03
277,catalase,+,1.11.1.6,,,1948,18162,1,2016-06-01 13:08:03
278,catalase,+,1.11.1.6,,,1949,18163,1,2016-06-01 13:08:03
279,catalase,+,1.11.1.6,,,1950,18164,1,2016-06-01 13:08:03
280,catalase,+,1.11.1.6,,,1951,6517,1,2016-06-01 13:08:03
281,catalase,+,1.11.1.6,,,1954,6730,1,2016-06-01 13:08:03
282,catalase,+,1.11.1.6,,,1955,6731,1,2016-06-01 13:08:03
283,catalase,+,1.11.1.6,,,1956,6792,1,2016-06-01 13:08:03
284,catalase,+,1.11.1.6,,,1959,6800,1,2016-06-01 13:08:03
285,catalase,+,1.11.1.6,,,1960,6802,1,2016-06-01 13:08:03
286,catalase,+,1.11.1.6,,,1961,6723,1,2016-06-01 13:08:03
287,catalase,+,1.11.1.6,,,1964,6890,1,2016-06-01 13:08:03
288,catalase,+,1.11.1.6,,,1966,6984,1,2016-06-01 13:08:03
289,catalase,+,1.11.1.6,,,1968,7195,1,2016-06-01 13:08:03
290,catalase,+,1.11.1.6,,,1973,15983,1,2016-06-01 13:08:03
291,catalase,+,1.11.1.6,,,1974,15939,1,2016-06-01 13:08:03
292,catalase,+,1.11.1.6,,,1976,7825,1,2016-06-01 13:08:03
293,catalase,-,1.11.1.6,,,1977,7826,1,2016-06-01 13:08:03
294,catalase,+,1.11.1.6,,,1979,17236,1,2016-06-01 13:08:03
295,catalase,+,1.11.1.6,,,1980,17227,1,2016-06-01 13:08:03
296,catalase,+,1.11.1.6,,,1981,16573,1,2016-06-01 13:08:03
297,catalase,+,1.11.1.6,,,1982,15678,1,2016-06-01 13:08:03
298,catalase,+,1.11.1.6,,,1983,17207,1,2016-06-01 13:08:03
299,catalase,+,1.11.1.6,,,1984,17206,1,2016-06-01 13:08:03
300,catalase,+,1.11.1.6,,,1985,17208,1,2016-06-01 13:08:03
301,catalase,+,1.11.1.6,,,1986,17255,1,2016-06-01 13:08:03
302,catalase,+,1.11.1.6,,,1987,17254,1,2016-06-01 13:08:03
303,catalase,+,1.11.1.6,,,1988,17184,1,2016-06-01 13:08:03
304,catalase,+,1.11.1.6,,,1989,16476,1,2016-06-01 13:08:03
305,catalase,+,1.11.1.6,,,1990,16574,1,2016-06-01 13:08:03
306,catalase,+,1.11.1.6,,,2091,3095,1,2016-06-01 13:08:03
307,catalase,+,1.11.1.6,,,2092,3103,1,2016-06-01 13:08:03
308,catalase,+,1.11.1.6,,,2094,3369,1,2016-06-01 13:08:03
309,catalase,+,1.11.1.6,,,2095,3106,1,2016-06-01 13:08:03
310,catalase,-,1.11.1.6,,,2097,7326,1,2016-06-01 13:08:03
311,catalase,+,1.11.1.6,,,2099,16820,1,2016-06-01 13:08:03
312,catalase,+,1.11.1.6,,,2101,18040,1,2016-06-01 13:08:03
313,catalase,-,1.11.1.6,,,2102,8781,1,2016-06-01 13:08:03
314,catalase,+,1.11.1.6,,,2103,1684,1,2016-06-01 13:08:03
315,catalase,+,1.11.1.6,,,2120,2002,1,2016-06-01 13:08:03
316,catalase,+,1.11.1.6,,,2121,1683,1,2016-06-01 13:08:03
317,catalase,-,1.11.1.6,,,2125,2003,1,2016-06-01 13:08:03
318,catalase,+,1.11.1.6,,,2126,2005,1,2016-06-01 13:08:03
319,catalase,+,1.11.1.6,,,2127,1331,1,2016-06-01 13:08:03
320,catalase,-,1.11.1.6,,,2128,2649,1,2016-06-01 13:08:03
321,catalase,+,1.11.1.6,,,2131,4316,1,2016-06-01 13:08:03
322,catalase,+,1.11.1.6,,,2134,7718,1,2016-06-01 13:08:03
323,catalase,-,1.11.1.6,,,2135,15884,1,2016-06-01 13:08:03
324,catalase,-,1.11.1.6,,,2138,15877,1,2016-06-01 13:08:03
325,catalase,+,1.11.1.6,,,2140,16740,1,2016-06-01 13:08:03
326,catalase,+,1.11.1.6,,,2141,18009,1,2016-06-01 13:08:03
327,catalase,+,1.11.1.6,,,2582,627,1,2016-06-01 13:08:03
328,catalase,+,1.11.1.6,,,2583,4592,1,2016-06-01 13:08:03
329,catalase,+,1.11.1.6,,,2584,4593,1,2016-06-01 13:08:03
330,catalase,-,1.11.1.6,,,5276,9002,1,2016-06-01 13:08:03
331,catalase,+,1.11.1.6,,,5277,14778,1,2016-06-01 13:08:03
332,catalase,+,1.11.1.6,,,5278,8979,1,2016-06-01 13:08:03
333,catalase,+,1.11.1.6,,,5279,1124,1,2016-06-01 13:08:03
334,catalase,+,1.11.1.6,,,5284,4868,1,2016-06-01 13:08:03
335,catalase,+,1.11.1.6,,,5285,5099,1,2016-06-01 13:08:03
336,catalase,+,1.11.1.6,,,5291,8795,1,2016-06-01 13:08:03
337,catalase,-,1.11.1.6,,,5292,8847,1,2016-06-01 13:08:03
338,catalase,+,1.11.1.6,,,5294,17801,1,2016-06-01 13:08:03
339,catalase,-,1.11.1.6,,,5295,977,1,2016-06-01 13:08:03
