ID_kit_api_20STR,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_20STR,modify_in_pgsql_20STR,ID_tbl_api_20STR,last_change
458,-,-,-,-,+,-,-,+,+,-,-,-,-,-,+,-,-,+,+,-,+,154756,60457,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
459,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,+,-,-,+,154757,60458,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
460,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,+,+,+,+,-,+,154763,60465,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
461,+,-,+,-,-,-,-,+,+,+,-,-,-,-,-,+,-,-,-,-,+,154792,60498,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
462,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,+,-,+,154835,60553,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
463,+,-,+,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,154842,60560,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
464,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,+,-,+,+,-,+,154886,60638,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
465,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,+,+,+,-,+,154902,60675,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
466,+,-,+,+,-,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,154994,60819,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
467,+,-,+,+,-,-,-,-,+,+,+,-,-,-,+,+,-,-,+,-,+,155034,60884,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
468,+,+,+,+,+,-,+,-,+,+,+,+,+,-,+,+,-,-,+,-,+,155048,60899,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
469,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,155098,60973,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
470,+,-,+,-,-,-,-,+,+,-,-,-,+,+,+,+,+,-,-,-,-,155133,61017,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
471,+,+,+,-,+,-,-,-,+,-,-,-,+,+,+,+,+,+,-,-,-,155134,61018,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
472,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,155306,61268,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
