ID_nutrition_type,nutrition_type,ID_strains,ID_reference,manual_annotation,last_change
1272,chemoorganotroph,132606,43106,1,2018-06-08 08:33:01
1273,chemoorganotroph,132607,43106,1,2018-06-08 08:33:01
1274,chemoorganotroph,132608,43106,1,2018-06-08 08:33:01
1275,autotroph,132610,43115,1,2018-06-08 08:33:01
1276,heterotroph,140500,43119,1,2018-06-08 08:33:01
1277,heterotroph,140510,43167,1,2018-06-08 08:33:01
1278,heterotroph,140514,43093,1,2018-06-08 08:33:01
1279,chemoheterotroph,132988,43097,1,2018-06-08 08:33:01
1280,chemoorganotroph,132583,43082,1,2018-06-08 08:33:01
1281,chemoorganotroph,132584,43082,1,2018-06-08 08:33:01
1282,chemoorganotroph,140566,43187,1,2018-06-08 08:33:01
1283,organotroph,140261,43213,1,2018-06-08 08:33:01
1284,heterotroph,140570,43340,1,2018-06-08 08:33:01
1285,chemolithoautotroph,140262,43216,1,2018-06-08 08:33:01
1286,photolithotroph,1825,43202,1,2018-06-08 08:33:01
1287,copiotroph|diazotroph,1825,43202,1,2018-06-08 08:33:01
1288,chemolithoautotroph,140281,43215,1,2018-06-08 08:33:01
1289,autotroph,140281,43215,1,2018-06-08 08:33:01
1290,chemoheterotroph,140283,43219,1,2018-06-08 08:33:01
1291,chemoheterotroph,140282,43219,1,2018-06-08 08:33:01
1292,chemolithoautotroph,11924,43182,1,2018-06-08 08:33:01
1293,chemolithoautotroph,11925,43182,1,2018-06-08 08:33:01
1294,chemolithoautotroph,11931,43182,1,2018-06-08 08:33:01
1295,chemolithoautotroph,11932,43182,1,2018-06-08 08:33:01
1296,chemolithoautotroph,11923,43182,1,2018-06-08 08:33:01
1297,chemolithoautotroph,11933,43182,1,2018-06-08 08:33:01
1298,chemolithoautotroph,11910,43182,1,2018-06-08 08:33:01
1299,chemolithoautotroph,11912,43182,1,2018-06-08 08:33:01
1300,chemolithoautotroph,11913,43182,1,2018-06-08 08:33:01
1301,chemolithoautotroph,11911,43182,1,2018-06-08 08:33:01
1302,chemolithoautotroph,6140,43206,1,2018-06-08 08:33:01
1303,heterotroph,6140,43206,1,2018-06-08 08:33:01
1304,mixotroph,6140,43206,1,2018-06-08 08:33:01
1305,autotroph,140291,43269,1,2018-06-08 08:33:01
1306,heterotroph,140590,43238,1,2018-06-08 08:33:01
1307,chemoorganoheterotroph,140292,43231,1,2018-06-08 08:33:01
1308,chemolithoautotroph,140298,43270,1,2018-06-08 08:33:01
1309,chemoorganotroph,140621,43143,1,2018-06-08 08:33:01
1310,chemoorganoheterotroph,132620,43144,1,2018-06-08 08:33:01
1311,chemoorganoheterotroph,132621,43144,1,2018-06-08 08:33:01
1312,chemoorganoheterotroph,132622,43144,1,2018-06-08 08:33:01
1313,chemolithoautotroph,132623,43156,1,2018-06-08 08:33:01
1314,autotroph,132623,43156,1,2018-06-08 08:33:01
1315,chemoautotroph,132624,43161,1,2018-06-08 08:33:01
1316,chemoheterotroph,132624,43161,1,2018-06-08 08:33:01
1317,chemoorganoheterotroph,132624,43161,1,2018-06-08 08:33:01
1318,chemolithoheterotroph,132624,43161,1,2018-06-08 08:33:01
1319,chemoheterotroph,132579,43068,1,2018-06-08 08:33:01
1320,chemoorganoheterotroph,132588,43087,1,2018-06-08 08:33:01
1321,organotroph,132590,43090,1,2018-06-08 08:33:01
1322,chemoheterotroph,140526,43300,1,2018-06-08 08:33:01
1323,heterotroph,140532,43316,1,2018-06-08 08:33:01
1324,chemoorganotroph,140539,43326,1,2018-06-08 08:33:01
1325,heterotroph,140540,43327,1,2018-06-08 08:33:01
1326,chemoorganotroph,140544,43332,1,2018-06-08 08:33:01
1327,organotroph|photoautotroph,140546,43334,1,2018-06-08 08:33:01
1328,photolithoautotroph,140546,43334,1,2018-06-08 08:33:01
1329,chemoheterotroph,140549,43338,1,2018-06-08 08:33:01
1330,chemoorganotroph,5500,43416,1,2018-06-14 08:58:53
1331,chemoheterotroph,5499,43342,1,2018-06-14 08:58:53
1332,chemoorganotroph,140658,43405,1,2018-06-14 08:58:53
1333,heterotroph,24814,43403,1,2018-06-14 08:58:53
1334,chemoorganotroph,134150,27837,1,2018-06-14 08:58:53
1335,chemoorganotroph,17717,43342,1,2018-06-14 08:58:53
1336,chemoorganotroph,4240,43415,1,2018-06-14 08:58:53
1337,chemoorganotroph,17719,28014,1,2018-06-14 08:58:53
1338,chemoorganotroph,3776,43374,1,2018-06-14 08:58:53
1339,chemoorganotroph,17033,43352,1,2018-06-14 08:58:53
1340,chemoheterotroph,6199,43364,1,2018-06-14 08:58:53
1341,heterotroph,17649,43418,1,2018-06-14 08:58:53
1342,chemoorganotroph,14046,28558,1,2018-06-14 08:58:53
1343,organotroph,24801,43396,1,2018-06-14 08:58:53
1344,chemoorganotroph,5616,43388,1,2018-06-14 08:58:53
1345,chemoorganotroph,5617,43393,1,2018-06-14 08:58:53
1346,chemoorganotroph,3813,43350,1,2018-06-14 08:58:53
1347,chemoorganotroph,17906,28584,1,2018-06-14 08:58:53
1348,chemoorganotroph,11943,28725,1,2018-06-14 08:58:53
1349,chemoheterotroph,24754,43378,1,2018-06-14 08:58:53
1350,chemoheterotroph,24757,43378,1,2018-06-14 08:58:53
1351,chemoheterotroph,24759,43378,1,2018-06-14 08:58:53
1352,heterotroph,18040,43371,1,2018-06-14 08:58:53
1353,chemoheterotroph,140665,43390,1,2018-06-14 08:58:53
1354,heterotroph,17068,43376,1,2018-06-14 08:58:53
1355,chemoorganotroph,5658,26336,1,2018-06-14 08:58:53
1356,chemoorganotroph,2853,25435,1,2018-06-14 08:58:53
1357,chemoorganotroph,17777,43422,1,2018-06-14 08:58:53
1358,chemoheterotroph,5477,43341,1,2018-06-14 08:58:53
1359,chemoorganoheterotroph,18028,28511,1,2018-06-14 08:58:53
1360,chemoorganoheterotroph,18029,28511,1,2018-06-14 08:58:53
1361,chemoorganoheterotroph,18024,43351,1,2018-06-14 08:58:53
1362,chemoorganoheterotroph,140656,43401,1,2018-06-14 08:58:53
1363,chemoorganotroph,18027,43370,1,2018-06-14 08:58:53
1364,organotroph,17820,26085,1,2018-06-14 08:58:53
1365,heterotroph,14134,28434,1,2018-06-14 08:58:53
1366,chemoorganotroph,12496,27900,1,2018-06-14 08:58:53
1367,chemoorganotroph,13692,43385,1,2018-06-14 08:58:53
1368,chemoorganotroph,13690,43385,1,2018-06-14 08:58:53
1369,chemoorganotroph,13691,43385,1,2018-06-14 08:58:53
1370,chemoheterotroph,5636,26520,1,2018-06-14 08:58:53
1371,chemoheterotroph,140669,43433,1,2019-01-25 12:32:00
1372,chemoorganotroph,140676,43440,1,2019-01-25 12:32:00
1373,chemoorganotroph,2537,43456,1,2019-01-25 12:32:00
1374,chemoorganotroph,2650,43456,1,2019-01-25 12:32:00
1375,heterotroph,140692,43461,1,2019-01-25 12:32:00
1376,chemoorganoheterotroph,140357,43466,1,2019-01-25 12:32:00
1377,heterotroph,140699,43469,1,2019-01-25 12:32:00
1378,organoheterotroph,140700,43470,1,2019-01-25 12:32:00
1379,chemoorganoheterotroph,140375,43479,1,2019-01-25 12:32:00
1380,chemoorganoheterotroph,140412,43495,1,2019-01-25 12:32:00
1381,chemolithoautotroph,14319,43496,1,2019-01-25 12:32:00
1382,chemoheterotroph,140719,43497,1,2019-01-25 12:32:00
1383,chemoorganotroph,140723,43501,1,2019-01-25 12:32:00
1384,photoorganoheterotroph,140725,43503,1,2019-01-25 12:32:00
1385,chemoautolithotroph,140730,43509,1,2019-01-25 12:32:00
1386,chemoorganotroph,140734,43513,1,2019-01-25 12:32:00
1387,chemoorganotroph,140735,43513,1,2019-01-25 12:32:00
1388,chemoheterotroph,140737,43516,1,2019-01-25 12:32:00
1389,chemoorganotroph,140747,43524,1,2019-01-25 12:32:00
1390,chemoorganotroph,2806,43524,1,2019-01-25 12:32:00
1391,chemoorganotroph,2765,43524,1,2019-01-25 12:32:00
1392,chemoorganotroph,2646,43524,1,2019-01-25 12:32:00
1393,chemoheterotroph,140750,43528,1,2019-01-25 12:32:00
1394,organoheterotroph,140771,43549,1,2019-01-25 12:32:00
1395,chemoorganoheterotroph,140773,43551,1,2019-01-25 12:32:00
1396,chemoorganoheterotroph,140775,43553,1,2019-01-25 12:32:00
1397,organoheterotroph,140782,43549,1,2019-01-25 12:32:00
1398,chemoorganotroph,140788,43566,1,2019-01-25 12:32:00
1399,chemolithoheterotroph,132628,43576,1,2019-01-25 12:32:00
1400,chemoautolithotroph,6089,43579,1,2019-01-25 12:32:00
1401,chemoorganoheterotroph,132582,43580,1,2019-01-25 12:32:00
1402,chemoorganotroph,2068,43586,1,2019-01-25 12:32:00
1403,chemoorganotroph,2071,43586,1,2019-01-25 12:32:00
1404,chemoorganotroph,2070,43586,1,2019-01-25 12:32:00
1405,chemoorganotroph,2069,43586,1,2019-01-25 12:32:00
1406,chemoheterotroph,140814,43601,1,2019-01-25 12:32:00
1407,chemoorganoheterotroph,140817,43607,1,2019-01-25 12:32:00
