ID_kit_api_20NE,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_20NE,modify_in_pgsql_20NE,ID_tbl_api_20NE,last_change
10493,-,-,-,-,+,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,132243,24032,1,2017-02-24 00:00:00,2017-02-28 10:50:04,2105.0,2019-11-20 06:22:46
10492,+,-,-,-,+/-,+,-,+,+,+,+,+,+,+,+,-,-,+,-,-,+,13584,9202,1,2017-02-15 00:00:00,2017-02-28 10:20:05,2104.0,2019-11-20 06:22:46
10491,-,-,-,-,-,+,-,+,+,+,+,-,-,+,+,-,-,+,+,-,-,14243,6129,1,2017-02-27 00:00:00,2017-02-27 07:35:05,2103.0,2019-11-20 06:22:46
10490,-,-,-,-,-,+,+,+,+,+,+,-,+,+,+,-,-,+,+,-,-,23276,18920,1,2017-02-27 00:00:00,2017-02-27 07:35:05,2102.0,2019-11-20 06:22:46
10489,+,+,+,-,-,-,+,+,+,-,+,+,+,+,+,-,-,+,+,-,+,131086,22378,1,2017-02-23 00:00:00,2017-02-23 11:45:05,2101.0,2019-11-20 06:22:46
10488,-,-,-,+,-,-,+,-,+,-,+,+,+,-,+,+,-,+,+,+,+,13154,7886,1,2017-02-23 00:00:00,2017-02-23 11:45:05,2100.0,2019-11-20 06:22:46
10487,-,-,-,-,-,-,-,-,+,-,-,+,-,-,+,+,-,+,+,-,+,13183,18176,1,2017-02-16 00:00:00,2017-02-16 16:10:05,2099.0,2019-11-20 06:22:46
10486,-,-,-,-,-,+,+,+,+,+,+,-,-,+,+/-,-,-,+,-,+,+,132756,24546,1,2017-02-08 00:00:00,2017-02-14 09:00:05,2098.0,2019-11-20 06:22:46
10485,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,130778,21645,1,2017-02-13 00:00:00,2017-02-13 16:25:04,2097.0,2019-11-20 06:22:46
10484,-,-,+,-,-,+,-,-,+,-,+,+,+,+,+,-,-,-,+,-,+,158354,65030,1,2017-02-09 00:00:00,2017-02-09 12:30:05,2096.0,2019-11-20 06:22:46
10483,-,-,-,-,-,+,-,+,+,-,+,+,-,+,-,-,-,+,+,-,+,132916,24704,1,2017-01-18 00:00:00,2017-02-03 09:35:05,2093.0,2019-11-20 06:22:46
10482,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,+,13669,5309,1,2017-01-25 00:00:00,2017-02-02 13:45:05,2092.0,2019-11-20 06:22:46
10481,+,+,+,-,-,+,+,+,+,-,+,+,+,+,+,+,-,+,-,-,+,157896,64469,1,2017-01-30 00:00:00,2017-01-30 16:10:06,2090.0,2019-11-20 06:22:46
10480,+,-,-,+,+,-,+,-,+,-,-,+,+,-,+,+,+,+,+,-,+,12759,565,1,2017-01-27 00:00:00,2017-01-27 12:45:05,2088.0,2019-11-20 06:22:46
10479,-,-,-,+,+,+,+,-,+,-,+,-,+,+,+,-,-,+,+,-,-,23011,19311,1,2017-01-27 00:00:00,2017-01-27 07:45:05,2087.0,2019-11-20 06:22:46
10478,-,-,-,-,+,-,-,-,+,+,+/-,+,-,-,+/-,+/-,+,+,+,+,,158107,64684,1,2016-12-21 00:00:00,2017-01-23 09:55:05,2077.0,2019-11-20 06:22:46
10477,+,-,-,-,+,-,-,-,+/-,+/-,-,+/-,-,-,+/-,-,+,+,+,+,,158100,64677,1,2016-12-21 00:00:00,2017-01-23 09:55:05,2076.0,2019-11-20 06:22:46
10476,-,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,+,+,+,+/-,,158105,64682,1,2016-12-20 00:00:00,2017-01-23 09:50:05,2075.0,2019-11-20 06:22:46
10475,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,,132,7394,1,2017-01-12 00:00:00,2017-01-23 09:15:04,2074.0,2019-11-20 06:22:46
10474,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,,132,7394,1,2016-12-13 00:00:00,2017-01-23 09:15:04,2073.0,2019-11-20 06:22:46
10473,-,-,-,-,-,+,-,+,+/-,+,+,+,+,+/-,+,-,+/-,+,-,-,,139881,42489,1,2016-12-20 00:00:00,2017-01-23 09:10:04,2072.0,2019-11-20 06:22:46
10472,-,-,+,+,-,-,+,-,+,-,+,-,+,+,+,-,-,-,-,-,-,4273,81,1,2017-01-20 00:00:00,2017-01-20 12:00:05,2071.0,2019-11-20 06:22:46
10471,-,-,+,+,-,+,+,-,+,-,+,-,+,+,+,-,-,+,+,+,-,5206,7242,1,2017-01-20 00:00:00,2017-01-20 12:00:05,2070.0,2019-11-20 06:22:46
10470,-,-,-,-,-,+,+,+,+,+,+,-,+,+,+,-,-,+,+,-,+,14243,6129,1,2017-01-16 00:00:00,2017-01-16 13:35:05,2069.0,2019-11-20 06:22:46
10469,-,-,-,-,-,-,-,+,+,+,+,+,+,-,+,+,+,+,+,+,+,1966,6984,1,2017-01-07 00:00:00,2017-01-09 11:30:04,2068.0,2019-11-20 06:22:46
10468,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,132261,24050,1,2016-12-22 00:00:00,2016-12-22 13:55:05,2067.0,2019-11-20 06:22:46
10467,+,-,-,-,+,+,-,+,+,+,+,+,+,+,-,-,-,+/-,-,-,+,132155,23944,1,2016-12-06 00:00:00,2016-12-19 15:10:04,2065.0,2019-11-20 06:22:46
10466,+,-,-,-,+,+,-,+,+,+,+,+,+,+,+/-,-,-,+/-,+,-,+,132156,23945,1,2016-12-06 00:00:00,2016-12-19 14:50:04,2064.0,2019-11-20 06:22:46
10465,-,-,-,-,-,+,-,+,+,+,+,+,+,+,-,-,-,+,+,-,+,132154,23943,1,2016-12-06 00:00:00,2016-12-19 14:45:04,2063.0,2019-11-20 06:22:46
10464,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,-,-,-,-,+,17463,6503,1,2016-12-16 00:00:00,2016-12-16 12:50:05,2062.0,2019-11-20 06:22:46
10463,-,-,-,-,+/-,-,-,-,+,+,+,+,+,-,+,+,-,+,-,+,-,132166,23955,1,2016-11-30 00:00:00,2016-12-14 11:40:04,2061.0,2019-11-20 06:22:46
10462,-,-,-,-,-,+,-,+,-,-,-,+,-,+,-,-,-,+,-,-,+,132051,23842,1,2016-11-30 00:00:00,2016-12-14 11:35:05,2060.0,2019-11-20 06:22:46
10461,+,-,+,-,-,+,-,+,-,+,+,-,-,-,+,+,-,+,+,-,+,139784,42392,1,2016-12-08 00:00:00,2016-12-08 15:25:05,2059.0,2019-11-20 06:22:46
10460,+,-,-,-,-,+,-,+,+,+,+,+,+,+,-,-,-,+,-,-,+,158347,65023,1,2016-12-07 00:00:00,2016-12-07 15:35:05,2058.0,2019-11-20 06:22:46
10459,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,132261,24050,1,2016-12-05 00:00:00,2016-12-05 15:20:05,2057.0,2019-11-20 06:22:46
10458,+,-,-,-,-,-,-,-,+,+,+,+,+,-,+,+,+,+,+,+,+,1959,6800,1,2016-12-01 00:00:00,2016-12-05 09:35:05,2056.0,2019-11-20 06:22:46
10457,-,-,-,-,+,+,-,+,+,+,+,+,+,+,+,-,-,+,-,-,+,13580,9167,1,2016-11-30 00:00:00,2016-12-01 14:45:05,2055.0,2019-11-20 06:22:46
10456,-,-,-,-,-,-,-,-,+,+,+/-,-,-,-,+/-,+,+,+,+,+,,131594,23390,1,2016-11-24 00:00:00,2016-11-29 11:35:05,2054.0,2019-11-20 06:22:46
