ID_kit_api_NH,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,ID_strains,ID_reference,manual_annotation,created_NH,modify_in_pgsql_NH,ID_tbl_api_NH,last_change
2680,-,-,-,-,-,-,-,-,-,-,+/-,-,-,1640,17242,1,2010-04-15 00:00:00,2016-01-18 08:02:53,235.0,2019-11-20 06:22:49
2679,-,-,-,-,-,-,+/-,-,-,-,+,-,-,1641,17241,1,2010-04-15 00:00:00,2016-01-18 08:02:53,234.0,2019-11-20 06:22:49
2678,+,+,+/-,+/-,+,+,-,+,-,-,-,-,-,11704,16829,1,2011-07-25 00:00:00,2016-01-18 08:02:53,233.0,2019-11-20 06:22:49
2677,+,+,+,+,+,+,-,+,-,-,-,-,-,11704,16829,1,2010-03-19 00:00:00,2016-01-18 08:02:53,232.0,2019-11-20 06:22:49
2676,+,+,-,-,+,+,-,+,-,-,-,-,-,11704,16829,1,2013-02-08 00:00:00,2016-01-18 08:02:53,231.0,2019-11-20 06:22:49
2675,+,+,+/-,+/-,-,+,-,+,-,-,-,-,-,11704,16829,1,2014-07-01 00:00:00,2016-01-18 08:02:53,230.0,2019-11-20 06:22:49
2674,+,+/-,-,+,-,-,-,+/-,-,-,+,-,-,10487,16828,1,2010-03-05 00:00:00,2016-01-18 08:02:53,229.0,2019-11-20 06:22:49
2673,-,-,-,-,-,-,-,-,-,-,+,-,-,2099,16820,1,2010-03-18 00:00:00,2016-01-18 08:02:53,228.0,2019-11-20 06:22:49
2672,+,-,-,-,-,-,-,-,-,+,+,-,-,10492,16803,1,2010-02-23 00:00:00,2016-01-18 08:02:53,227.0,2019-11-20 06:22:49
2671,+,-,-,-,-,-,-,-,-,-,-,-,-,10488,16802,1,2010-03-02 00:00:00,2016-01-18 08:02:53,226.0,2019-11-20 06:22:49
2670,-,-,-,-,-,-,+,+,-,-,-,-,-,8168,16801,1,2010-02-23 00:00:00,2016-01-18 08:02:53,225.0,2019-11-20 06:22:49
2669,+,+,+,+,-,-,-,+,+,-,-,-,-,11726,16749,1,2010-02-05 00:00:00,2016-01-18 08:02:53,224.0,2019-11-20 06:22:49
2668,+,+,-,+,+,-,-,+,+,-,-,-,-,11727,16748,1,2010-02-05 00:00:00,2016-01-18 08:02:53,223.0,2019-11-20 06:22:49
2667,+,+/-,+,+,-,-,-,-,-,-,+,-,-,23786,20456,1,2014-06-23 00:00:00,2016-01-18 08:02:53,222.0,2019-11-20 06:22:49
2666,-,-,-,-,-,+,-,-,-,-,+,-,+,23786,20456,1,2010-02-02 00:00:00,2016-01-18 08:02:53,221.0,2019-11-20 06:22:49
2665,+,+,-,+,+,-,-,+,-,-,-,+,+,11737,16718,1,2010-01-06 00:00:00,2016-01-18 08:02:53,219.0,2019-11-20 06:22:49
2664,+,+,-,+,-,-,-,+,-,-,+,-,+,11740,16700,1,2010-01-06 00:00:00,2016-01-18 08:02:53,218.0,2019-11-20 06:22:49
2663,+/-,+,-,+,-,-,+/-,+,-,+,+,-,-,11747,16699,1,2010-01-15 00:00:00,2016-01-18 08:02:53,217.0,2019-11-20 06:22:49
2662,+/-,+/-,-,-,-,-,-,-,-,-,+/-,-,-,6754,16692,1,2009-09-02 00:00:00,2016-01-18 08:02:53,216.0,2019-11-20 06:22:49
2661,+,+,+,+,-,-,+,-,+,-,-,+,-,11741,16690,1,2009-11-17 00:00:00,2016-01-18 08:02:53,215.0,2019-11-20 06:22:49
2660,+,+,-,+,+,-,+,+,-,-,-,+,-,11738,16689,1,2009-11-27 00:00:00,2016-01-18 08:02:53,214.0,2019-11-20 06:22:49
2659,+,+,+/-,+/-,-,-,-,+,-,-,+,+,-,11742,16645,1,2009-10-15 00:00:00,2016-01-18 08:02:53,213.0,2019-11-20 06:22:49
2658,+,+,+/-,+,-,-,-,+,+,-,+,-,-,11736,16644,1,2009-10-16 00:00:00,2016-01-18 08:02:53,212.0,2019-11-20 06:22:49
2657,+,+,+,+,-,-,-,+,+,-,+,-,-,11736,16644,1,2009-10-13 00:00:00,2016-01-18 08:02:53,211.0,2019-11-20 06:22:49
2656,+,+,+,+,+,-,-,+,+,-,+,-,-,11744,16568,1,2009-10-01 00:00:00,2016-01-18 08:02:53,210.0,2019-11-20 06:22:49
2655,+,+,+,-,-,+,-,-,-,+,+,-,-,11743,16567,1,2009-10-02 00:00:00,2016-01-18 08:02:53,209.0,2019-11-20 06:22:49
2654,+,+,+,+,-,+,-,+,-,-,-,+,-,11735,16565,1,2009-11-06 00:00:00,2016-01-18 08:02:53,208.0,2019-11-20 06:22:49
2653,+,+,-,+,+,-,-,+,-,-,-,-,-,11730,16564,1,2009-09-29 00:00:00,2016-01-18 08:02:53,207.0,2019-11-20 06:22:49
2652,+,+,+,-,-,-,-,+,+,+,+,-,-,5495,16613,1,2009-11-09 00:00:00,2016-01-18 08:02:53,206.0,2019-11-20 06:22:49
2651,+,+,+,+,-,-,+,+,+,+,+,-,-,5496,16422,1,2009-08-24 00:00:00,2016-01-18 08:02:53,205.0,2019-11-20 06:22:49
2650,+,+,+,+,-,-,-,+,+/-,-,-,-,+,11696,16421,1,2009-08-26 00:00:00,2016-01-18 08:02:53,204.0,2019-11-20 06:22:49
2649,+,+,+,+,-,-,+,+,+,-,-,+,-,12517,16541,1,2009-09-10 00:00:00,2016-01-18 08:02:53,203.0,2019-11-20 06:22:49
