ID_kit_api_50CHac,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,cupule_28,cupule_29,cupule_30,cupule_31,cupule_32,cupule_33,cupule_34,cupule_35,cupule_36,cupule_37,cupule_38,cupule_39,cupule_40,cupule_41,cupule_42,cupule_43,cupule_44,cupule_45,cupule_46,cupule_47,cupule_48,cupule_49,cupule_50,ID_strains,ID_reference,manual_annotation,created_50CHac,modify_in_pgsql_50CHac,ID_tbl_api_50CHac,last_change
4629,-,-,-,-,-,+,-,-,-,-,+,+,+,+,+,+,-,-,+,+,-,+,+,+,+,+,+,+,+/-,+,-,-,+,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,6427,8433,1,2016-02-12 00:00:00,2016-02-11 23:00:00,737.0,2019-11-20 06:22:47
4628,-,-,-,-,-,+,+,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,-,+,+,+,-,-,+,-,-,-,+,-,-,+,-,-,-,-,-,-,-,6393,8727,1,2016-02-12 00:00:00,2016-02-11 23:00:00,736.0,2019-11-20 06:22:47
4627,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,+,+/-,+,+,+,+,+,+,+,+,+/-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,6442,8934,1,2016-02-12 00:00:00,2016-02-11 23:00:00,735.0,2019-11-20 06:22:47
4626,-,-,-,-,+/-,+/-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+/-,-,+/-,140403,43010,1,2015-08-24 00:00:00,2016-02-05 15:47:31,734.0,2019-11-20 06:22:47
4625,-,-,-,-,-,+,-,-,-,-,+,+,+,+,+,-,-,-,+,+,-,-,+,+,+,+,+,+,+,+,-,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,130964,22256,1,2015-08-12 00:00:00,2016-02-05 15:47:31,733.0,2019-11-20 06:22:47
4624,-,-,-,-,+,+,+,-,-,+,+,+,+,+,-,-,-,-,-,-,+,+,+,+,-,+,+,+,+,+,+,+,+/-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,132544,24333,1,2015-12-14 00:00:00,2016-02-05 15:47:31,732.0,2019-11-20 06:22:47
4623,-,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,+,+,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,+,-,-,132544,24333,1,2015-07-15 00:00:00,2016-02-05 15:47:31,731.0,2019-11-20 06:22:47
4622,-,-,-,-,-,+,-,-,-,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,132543,24332,1,2015-12-14 00:00:00,2016-02-05 15:47:31,730.0,2019-11-20 06:22:47
4621,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,+,+,+,-,+,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,132543,24332,1,2015-07-15 00:00:00,2016-02-05 15:47:31,729.0,2019-11-20 06:22:47
4620,-,-,-,-,-,-,-,-,-,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,+,-,-,-,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,132546,24335,1,2015-07-15 00:00:00,2016-02-05 15:47:31,728.0,2019-11-20 06:22:47
4619,-,-,-,-,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,132545,24334,1,2015-07-15 00:00:00,2016-02-05 15:47:31,725.0,2019-11-20 06:22:47
4618,-,-,-,-,-,+,-,-,-,-,+,+,+,+,-,-,-,-,+,-,-,-,+,+,+,+,+,+,+,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,132638,24427,1,2015-06-19 00:00:00,2016-02-05 15:47:31,724.0,2019-11-20 06:22:47
4617,-,-,-,-,-,+,-,-,-,-,+,+,+,+,-,-,-,-,+,-,-,-,+,+,+,+,+,+,+,+,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,131552,22779,1,2015-04-28 00:00:00,2016-02-05 15:47:31,722.0,2019-11-20 06:22:47
4616,-,-,-,-,+,+,+,-,-,-,+,+,+,+,+/-,+,-,-,+,-,-,+,+,+,+,+,+,+,+,+,+,+,+,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,+,+,132349,24138,1,2015-04-21 00:00:00,2016-02-05 15:47:31,721.0,2019-11-20 06:22:47
4615,-,-,-,-,+,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140356,42963,1,2015-03-27 00:00:00,2016-02-05 15:47:31,720.0,2019-11-20 06:22:47
4614,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,+,+,+,-,+,-,+,+,-,-,-,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,140310,42917,1,2015-03-26 00:00:00,2016-02-05 15:47:31,719.0,2019-11-20 06:22:47
4613,-,-,-,-,+,+,+,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,+,+,+,+,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,140346,42953,1,2015-03-26 00:00:00,2016-02-05 15:47:31,718.0,2019-11-20 06:22:47
4612,-,-,-,-,+,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,+,+,+,+,+,+,-,+,+,+,-,+,+,+,+,-,+,+,-,-,-,-,-,-,-,-,-,140312,42919,1,2015-03-20 00:00:00,2016-02-05 15:47:31,717.0,2019-11-20 06:22:47
4611,-,-,-,-,+,-,+,-,-,+,+,+,+,+,-,-,-,-,-,-,+,+,-,-,-,+,-,-,+,+,+,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,132347,24136,1,2015-03-16 00:00:00,2016-02-05 15:47:31,716.0,2019-11-20 06:22:47
4610,-,-,-,-,+,-,+,-,-,-,+,+,+,+,+,+,-,-,-,-,-,+,-,+,+,+,+,+,+,+,+,+,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,+,-,-,132344,24133,1,2015-03-16 00:00:00,2016-02-05 15:47:31,715.0,2019-11-20 06:22:47
4609,-,-,-,-,+,+,+,-,-,+,+,+,+,+,-,-,-,-,+,-,-,+,+,+,+,+,+,+,+,-,+,+,+,-,+/-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,+,132454,24243,1,2015-05-21 00:00:00,2016-02-05 15:47:31,714.0,2019-11-20 06:22:47
