ID_risk_assessment,biosafety_level,biosafety_level_comment,pathogenicity_human,pathogenicity_animal,pathogenicity_plant,ID_strains,ID_reference,FK_tbl_strains_micro,manual_annotation,last_change
388,1,Risk group (German classification),,,,3922,18747,,1,2016-03-22 14:24:55
389,1,Risk group (German classification),,,,7366,18748,,1,2016-03-22 14:24:55
390,1,Hazard group,,,,7308,18752,,1,2016-03-22 14:24:55
391,1,Risk group (German classification),,,,7371,18753,,1,2016-03-22 14:24:55
392,1,Risk group (German classification),,,,7762,18756,,1,2016-03-22 14:24:55
393,1,Hazard group,,,,7315,18757,,1,2016-03-22 14:24:55
394,1,Risk group (German classification),,,,3928,18758,,1,2016-03-22 14:24:55
395,1,Hazard group,,,,7575,18759,,1,2016-03-22 14:24:55
396,2,Risk group (German classification),,,,3082,18762,,1,2016-03-22 14:24:55
397,2,Risk group (German classification),,,,6314,18763,,1,2016-03-22 14:24:55
398,1,Hazard group,,,,1840,18764,,1,2016-03-22 14:24:55
399,2,Risk group (German classification),,,,3107,18765,,1,2016-03-22 14:24:55
400,1,Risk group (German classification),,,,7380,18766,,1,2016-03-22 14:24:55
401,1,Risk group (German classification),,,,7364,18767,,1,2016-03-22 14:24:55
402,1+,Hazard group,,,,1838,18768,,1,2016-03-22 14:24:55
403,2,Risk group (German classification),,,,3116,18769,,1,2016-03-22 14:24:55
404,2,Risk group (German classification),,,,3113,18770,,1,2016-03-22 14:24:55
405,1,Risk group (German classification),,,,7299,18771,,1,2016-03-22 14:24:55
406,1,Risk group (German classification),,,,7370,18772,,1,2016-03-22 14:24:55
38958,1,Risk group (German classification),,,,24673,20634,198975.0,1,2019-11-08 06:29:11
38957,1,Risk group (German classification),,,,295,16569,196054.0,1,2019-11-08 06:29:11
38956,1,Risk group (German classification),,,,17380,17429,197502.0,1,2019-11-08 06:29:11
38955,1,Risk group (German classification),,,,16486,17336,197069.0,1,2019-11-08 06:29:11
38954,1,Risk group (German classification),,,,16485,16602,195983.0,1,2019-11-08 06:29:11
38953,1,Risk group (German classification),,,,14089,15531,194158.0,1,2019-11-08 06:29:11
38952,1,Risk group (German classification),,,,13646,18221,199589.0,1,2019-11-08 06:29:11
38951,1,Risk group (German classification),,,,13645,16456,195749.0,1,2019-11-08 06:29:11
38950,1,Risk group (German classification),,,,11659,16677,196114.0,1,2019-11-08 06:29:11
38949,1,Risk group (German classification),,,,22940,19127,199835.0,1,2019-11-08 06:29:11
38948,1,Risk group (German classification),,,,23321,19126,200272.0,1,2019-11-08 06:29:11
38947,1,Risk group (German classification),,,,11241,18195,199521.0,1,2019-11-08 06:29:11
38946,1,Risk group (German classification),,,,24812,21088,19750.0,1,2019-11-08 06:29:11
38945,1,Risk group (German classification),,,,7214,17217,196841.0,1,2019-11-08 06:29:11
38944,1,Risk group (German classification),,,,13568,7704,18799.0,1,2019-11-08 06:29:11
38943,1,Risk group (German classification),,,,13567,7705,18800.0,1,2019-11-08 06:29:11
38942,1,Risk group (German classification),,,,5719,16698,196148.0,1,2019-11-08 06:29:11
38941,1,Risk group (German classification),,,,5583,16785,196337.0,1,2019-11-08 06:29:11
429,1,Risk group (German classification),2.0,2.0,,2507,23,286.0,1,2021-11-25 11:45:31
38940,1,Risk group (German classification),,,,5582,18085,198963.0,1,2019-11-08 06:29:11
38939,1,Risk group (German classification),,,,17039,15846,194669.0,1,2019-11-08 06:29:11
38938,1,Risk group (German classification),,,,4407,16851,196444.0,1,2019-11-08 06:29:11
38937,1,Risk group (German classification),,,,4406,16850,196443.0,1,2019-11-08 06:29:11
38936,1,Risk group (German classification),,,,4405,16832,196420.0,1,2019-11-08 06:29:11
38935,1,Risk group (German classification),,,1.0,4384,18181,199464.0,1,2019-11-08 06:29:11
38934,2,Risk group (German classification),,,,132124,23914,202861.0,1,2020-11-04 13:11:39
38933,2,Risk group (German classification),,,,24016,20534,197144.0,1,2020-11-04 13:11:39
38932,1,Risk group (German classification),,,,4177,15709,194471.0,1,2019-11-08 06:29:11
439,1,Risk group (German classification),2.0,2.0,,2508,33,300.0,1,2021-11-25 11:45:31
38931,1,Risk group (German classification),,,,2858,16787,196341.0,1,2019-11-08 06:29:11
38930,1,Risk group (German classification),,,,1751,15993,194904.0,1,2019-11-08 06:29:11
38929,1,Risk group (German classification),,,,13661,16089,195060.0,1,2019-11-08 06:29:11
