ID_kit_api_rID32STR,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,cupule_28,cupule_29,cupule_30,cupule_31,cupule_32,ID_strains,ID_reference,manual_annotation,created_rID32STR,modify_in_pgsql_rID32STR,ID_tbl_api_rID32STR,last_change
6571,-,+,+,-,-,+,+,+,-,+,+,-,-,+,-,-,+,-,+,+/-,+,+,-,-,-,+,-,-,+,-,+,-,5343,6693,1,2017-06-21 00:00:00,2017-06-23 11:00:03,605.0,2019-11-20 06:22:52
6570,-,+,+,-,+,-,-,-,-,+,+,-,+,-,-,-,-,+,+,-,-,+/-,-,-,-,+/-,-,+,+,-,+/-,-,132929,24717,1,2017-05-10 00:00:00,2017-06-20 12:35:04,604.0,2019-11-20 06:22:52
6569,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,+,+,-,+,-,+/-,-,-,-,+,-,-,-,-,-,-,132922,24710,1,2017-05-05 00:00:00,2017-06-20 10:30:04,603.0,2019-11-20 06:22:52
6568,-,-,+,-,+,-,-,+,-,+,+,+,+,+,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,-,132913,24701,1,2017-04-20 00:00:00,2017-05-30 07:10:03,602.0,2019-11-20 06:22:52
6567,-,-,-,-,+,-,-,-,-,+,+,+,+,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,-,132912,24700,1,2017-04-20 00:00:00,2017-05-29 13:40:03,601.0,2019-11-20 06:22:52
6566,+,+,+,-,+,-,+,+,-,+,+,-,+,+,-,+,+,-,+,+,+,+,+,-,-,+,-,-,+,-,+,-,5306,18091,1,2017-05-17 00:00:00,2017-05-19 09:50:03,600.0,2019-11-20 06:22:52
6565,+,+,+,+,+,-,-,-,-,+,+,+,+,-,-,+,-,+,-,+,-,+,-,+,+,+,+/-,-,-,-,+,-,140411,43018,1,2017-03-29 00:00:00,2017-04-06 12:00:03,599.0,2019-11-20 06:22:52
6564,-,-,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,+,-,-,-,+,+,-,-,+,-,-,-,+/-,-,-,14795,3218,1,2017-03-21 00:00:00,2017-03-29 07:10:02,598.0,2019-11-20 06:22:52
6563,+,+,-,-,-,+,+,+,+,+,+,-,-,-,-,+,+,-,-,+,+,+,-,-,-,+,-,-,+,+,+,-,5287,8490,1,2017-03-21 00:00:00,2017-03-29 06:55:03,597.0,2019-11-20 06:22:52
6562,+,-,+,-,+,+,-,-,-,+,+,+,+,-,-,-,-,+,+,+,+,+,-,-,+,+,+,-,+,-,-,-,14750,17316,1,2017-02-22 00:00:00,2017-02-24 09:00:04,596.0,2019-11-20 06:22:52
6561,+,+,+,+,+,-,-,-,-,+,+,+,+,-,-,-,-,+,+/-,+,+,+,-,+,+,+,+,-,+,-,-,-,14796,3683,1,2017-02-08 00:00:00,2017-02-13 14:55:05,594.0,2019-11-20 06:22:52
6560,+,+,-,-,-,+/-,+,+,+,-,+,-,+,-,-,+,+,-,-,-,+,-,-,-,-,+,-,-,+,-,+,-,132904,24692,1,2017-01-24 00:00:00,2017-02-03 10:35:05,593.0,2019-11-20 06:22:52
6559,+,+,-,-,-,-,+,-,-,+,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,14702,8850,1,2016-12-21 00:00:00,2016-12-21 07:50:05,592.0,2019-11-20 06:22:52
6558,-,+,-,-,-,+/-,+,+,-,-,+,+/-,+,-,-,+,+,-,-,+,+,+,+,-,-,+,-,+,+,-,-,-,132143,23933,1,2016-04-12 00:00:00,2016-12-15 08:15:05,591.0,2019-11-20 06:22:52
6557,-,-,+,-,-,+,-,-,-,+,+,-,+,-,-,-,-,+,-,-,+/-,+,-,-,+,+,-,-,-,-,-,-,14740,8975,1,2016-12-07 00:00:00,2016-12-07 12:20:04,590.0,2019-11-20 06:22:52
