ID_kit_api_zym,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,ID_strains,ID_reference,manual_annotation,created_zym,modify_in_pgsql_zym,ID_tbl_api_zym,last_change
2395,-,+,-,+,-,+,-,-,-,-,+,+,-,+,-,-,-,-,-,-,147316,51473,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2396,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,147323,51480,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2397,-,+,+,+,-,+,-,-,-,-,+,+,-,-,+,-,-,-,-,-,147370,51538,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2398,-,+,-,-,-,+,-,-,-,-,+,+,-,+,-,-,-,-,-,-,147402,51572,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2399,-,+,-,-,-,+,-,-,-,-,+,-,-,+,-,+,-,-,-,-,147467,51640,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2400,-,-,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,147476,51657,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2401,-,+,-,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,147481,51662,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2402,-,+,-,+,-,+,+,+,-,-,+,+,-,+,-,+,-,+,-,-,147492,51673,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2403,-,-,-,-,-,+,-,-,-,-,+,+,-,-,+,-,-,-,-,+,147496,51677,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2404,-,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,147516,51697,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2405,-,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,147518,51699,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2406,-,+,-,-,-,+,-,-,-,-,+,-,-,+,-,+,-,-,-,-,147521,51702,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2407,-,+,+,+,-,+,+,-,-,-,+,-,-,-,-,+,-,+,-,+,147548,51735,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2408,-,+,+,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,147554,51742,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2409,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,147593,51783,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2410,-,+,+,+,-,+,+,+,-,+,+,+,-,+,-,+,-,+,-,-,147651,51850,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2411,-,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,147669,51869,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2412,-,+,+,+,-,+,-,-,-,-,+,+,-,+,-,+,-,-,-,-,147670,51870,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2413,-,+,+,+,-,+,-,-,-,-,+,+,-,+,-,+,-,-,-,-,147671,51871,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2414,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,137975,51938,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2415,-,+,-,-,-,+,-,-,-,-,+,+,-,+,-,+,-,-,-,-,141602,44665,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2416,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,147819,52035,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2417,-,+,+,+,-,+,-,-,-,-,+,+,-,-,-,+,-,-,-,-,147828,52047,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2418,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147838,52058,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2419,-,+,+,-,-,+,-,-,-,-,+,+,-,+,-,-,-,-,-,-,147845,52065,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2420,-,+,+,+,-,+,-,-,-,-,+,+,-,+,-,+,-,-,-,-,147881,52103,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2421,-,+,+,+,-,+,-,-,-,-,+,+,-,+,-,+,-,-,-,-,147882,52104,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2422,-,+,-,-,-,+,-,-,-,-,+,-,-,-,-,+,-,-,-,-,147915,52139,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2423,-,+,+,-,-,+,-,-,-,-,+,+,-,+,-,-,-,-,-,-,148005,52238,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2424,-,+,-,+,-,+,-,-,-,-,+,+,-,-,-,+,-,-,-,-,148031,52269,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2425,-,+,-,-,-,+,-,-,-,-,+,-,-,-,-,+,-,-,-,-,148035,52273,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2426,-,+,-,+,-,+,-,-,-,-,+,+,-,-,-,+,-,-,-,-,148036,52274,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2427,-,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148037,52275,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2428,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148067,52305,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2429,-,+,-,-,-,+,-,-,-,-,+,+,-,+,-,+,-,-,-,-,148072,52310,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2430,-,+,+,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148137,52383,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2431,-,+,-,-,-,+,-,-,-,-,+,-,-,+,-,+,-,-,-,-,148161,52409,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2432,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148194,52457,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2433,-,+,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,148215,52480,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2434,-,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,148229,52495,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2435,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148288,52560,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2436,-,+,+,+,-,+,-,-,-,-,+,+,-,-,+,-,-,-,-,-,148292,52564,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2437,-,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148320,52602,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2438,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148348,52634,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2439,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148353,52639,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2440,-,+,+,+,-,+,-,-,-,-,+,+,-,-,-,+,-,-,-,-,148378,52665,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2441,-,+,+,-,-,+,-,-,-,-,+,+,-,-,+,-,-,-,-,-,148391,52679,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2442,-,+,+,-,-,+,-,-,-,-,+,+,-,+,-,-,-,-,-,-,148420,52709,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2443,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148421,52710,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2444,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,+,-,-,-,-,148440,52736,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2445,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,+,-,-,-,-,148468,52768,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2446,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148469,52769,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2447,-,+,+,-,-,+,-,-,-,-,+,+,-,+,-,-,-,-,-,-,148505,52820,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2448,-,+,+,-,-,+,-,-,-,-,+,+,-,-,+,-,-,-,-,-,148508,52823,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2449,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148509,52824,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2450,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148526,52844,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2451,-,-,+,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,148577,52897,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2452,-,+,+,-,-,+,-,-,-,-,+,+,-,+,-,+,-,-,-,-,148596,52917,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2453,-,+,+,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148624,52950,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2454,-,+,+,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,148629,52955,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2455,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,-,-,148710,53038,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2456,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148713,53041,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2457,-,+,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,148720,53048,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2458,-,+,+,+,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,-,148727,53055,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2459,-,+,+,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,148741,53069,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2460,-,+,+,-,-,+,-,-,-,-,+,+,-,-,-,+,-,-,-,-,148742,53070,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2461,-,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148743,53071,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2462,-,+,+,+,-,+,+,-,+,-,+,+,-,-,-,+,-,+,-,-,148747,53075,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2463,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,-,-,-,148812,53141,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2464,-,+,+,-,-,+,-,-,-,-,+,+,-,+,-,+,-,-,-,-,148824,53154,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2465,-,+,-,-,-,+,-,-,-,-,+,-,-,-,-,+,-,-,-,-,148833,53163,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2466,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148836,53166,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2467,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148837,53167,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2468,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148847,53178,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2469,-,+,-,-,-,+,-,-,-,-,+,-,+,+,-,-,-,-,-,-,148851,53182,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2470,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148854,53185,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2471,-,+,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,130522,53188,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2472,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148928,53260,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2473,-,+,-,-,-,+,-,-,-,-,+,+,-,+,-,+,-,-,-,-,148946,53279,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2474,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148951,53285,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2475,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,+,-,-,-,-,148952,53286,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2476,-,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148975,53309,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2477,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148989,53324,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2478,-,+,-,-,-,+,-,-,-,-,+,+,-,+,-,+,-,-,-,-,148990,53325,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2479,-,+,+,+,-,+,+,+,-,-,+,+,-,+,-,+,+,-,-,-,149017,53354,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2480,-,+,+,+,-,+,+,+,+,-,+,+,-,-,-,+,+,-,-,-,149018,53355,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2481,-,+,-,-,-,+,+,+,-,-,+,+,-,-,-,+,-,+,-,-,149031,53369,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2482,-,+,-,-,-,+,-,-,-,-,+,-,-,+,-,-,-,-,-,-,149038,53377,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2483,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,149040,53379,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2484,-,+,+,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,149041,53380,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2485,-,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,149047,53386,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2486,-,+,-,+,-,+,-,-,-,-,+,+,+,+,-,-,-,-,-,-,149181,53539,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2487,-,+,-,-,-,+,-,-,-,-,+,+,-,+,-,-,-,-,-,-,149184,53542,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2488,-,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,137793,44681,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2489,-,-,-,-,-,+,-,-,-,-,+,-,-,+,-,+,-,-,-,-,1757,44687,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2490,-,+,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,149185,53543,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2491,-,+,+,+,-,+,-,-,-,-,+,+,-,-,+,-,-,-,-,-,149195,53555,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2492,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,149212,53573,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2493,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,149220,53581,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2494,-,+,+,+,-,+,+,-,+,-,+,-,-,-,-,+,-,+,-,+,149222,53583,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2495,-,+,-,-,-,+,-,-,-,-,+,+,-,+,-,-,-,-,-,-,149223,53584,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2496,-,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,149285,53657,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2497,-,-,+,+,-,-,-,-,-,-,-,-,+,+,-,+,+,+,-,-,149288,53662,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2498,-,+,+,-,-,+,-,-,-,-,+,+,-,-,+,-,-,-,-,-,149305,53680,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2499,-,+,-,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,149310,53686,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2500,-,+,-,-,-,+,-,-,-,-,+,-,-,+,-,+,-,-,-,-,149312,53688,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2501,-,-,+,-,-,+,-,-,-,-,-,+,-,-,+,-,-,-,-,-,149382,53771,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2502,-,+,-,-,-,+,-,-,-,-,+,+,-,+,-,+,-,-,-,-,149392,53781,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2503,-,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,149426,53831,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2504,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,149466,53877,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2505,-,+,+,+,-,+,-,-,-,-,+,+,+,+,-,-,-,-,-,-,149468,53879,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2506,-,+,+,+,-,+,+,+,+,-,+,+,-,-,-,-,-,+,-,+,149470,53881,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2507,-,+,-,-,-,+,-,-,-,-,+,+,-,-,+,-,-,-,-,+,149486,53899,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2508,-,+,+,+,-,+,-,-,-,-,+,+,+,+,-,+,-,-,-,-,149559,53981,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2509,-,+,+,-,-,+,-,-,-,-,+,+,-,-,-,+,-,-,-,-,149603,54036,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2510,-,+,+,+,-,+,+,+,+,-,+,+,-,-,-,+,-,+,-,-,149737,54178,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2511,-,+,+,+,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,149749,54193,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2512,-,+,+,+,-,+,+,+,+,-,+,+,-,-,-,+,-,+,-,-,149757,54201,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2513,-,+,+,+,-,+,+,+,+,-,+,+,-,-,-,+,-,+,-,+,149764,54208,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2514,-,+,+,+,-,+,+,+,+,-,+,+,-,-,-,+,-,+,-,+,149765,54209,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2515,-,+,+,+,-,+,+,-,+,-,+,+,-,-,-,+,-,+,-,-,149766,54210,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2516,-,+,+,+,-,+,+,+,-,-,+,+,-,+,-,+,-,+,-,-,149804,54258,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2517,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,+,149808,54262,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2518,-,+,-,-,-,+,-,-,-,-,+,+,-,+,-,-,-,-,-,-,149809,54263,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2519,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,149810,54264,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2520,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,149811,54266,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2521,-,+,+,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,149812,54267,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2522,-,+,+,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,149813,54268,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2523,-,+,+,-,-,+,-,-,-,-,+,+,-,+,-,-,-,-,-,-,149814,54270,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2524,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,149816,54272,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2525,-,+,-,-,-,+,-,-,-,-,+,+,-,+,-,-,-,-,-,-,149817,54273,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2526,-,+,+,-,-,+,-,-,-,-,+,+,-,+,-,-,-,-,-,+,149818,54274,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2527,-,+,+,-,-,+,-,-,-,-,+,+,-,+,-,-,-,-,-,-,149819,54275,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2528,-,+,+,-,-,+,-,-,-,-,+,+,-,+,-,-,-,-,-,-,149820,54277,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2529,-,+,-,-,-,+,-,-,-,-,+,+,-,+,-,-,-,-,-,-,149821,54278,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2530,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,149839,54308,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2531,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,149853,54324,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2532,-,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,149857,54328,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2533,-,+,+,+,-,+,+,+,-,-,+,+,-,-,-,+,-,+,-,-,149986,54476,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2534,-,+,+,+,-,+,+,+,+,-,+,+,-,-,-,+,-,+,-,+,150005,54496,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2535,-,+,-,+,-,+,-,-,-,-,+,+,-,-,+,+,-,-,-,-,150015,54507,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2536,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,150016,54508,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2537,-,+,+,+,-,+,+,+,+,-,+,-,-,+,-,+,+,-,-,-,150020,54512,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2538,-,+,+,+,-,+,+,+,+,-,+,+,-,-,-,+,-,+,-,+,150042,54543,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2539,-,+,+,-,-,+,-,-,-,-,+,+,-,+,+,+,-,-,-,-,150054,54555,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2540,-,+,+,+,-,+,+,-,+,-,+,+,-,+,-,-,-,+,-,+,150062,54564,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2541,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,150067,54569,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2542,-,+,-,-,-,+,-,-,-,-,+,+,-,+,-,-,-,-,-,-,150072,54574,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2543,-,+,-,-,-,+,-,-,-,-,+,+,-,+,-,-,-,-,-,-,150077,54580,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2544,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,150079,54582,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
2545,-,+,+,+,-,+,+,+,+,-,+,+,-,-,-,-,-,+,-,+,150097,54600,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
