ID_kit_api_STA,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_STA,modify_in_pgsql_STA,ID_tbl_api_STA,last_change
89,,-,+,+,-,+,-,+,+,-,-,+,-,+,-,-,+,-,+,+,-,151499,56201,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
90,,-,+,+,-,-,+,+,+,-,-,+,+,+,-,-,+,-,+,+,+,151513,56216,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
91,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,151536,56239,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
92,,-,+,+,+,+,+,+,+,-,-,+,+,+,-,-,+,-,+,+,-,151762,56495,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
93,,-,+,+,+,+,-,+,-,-,-,+,-,+,-,-,+,-,-,+,+,137723,56512,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
94,,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,151895,56662,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
95,,-,+,+,+,+,+,+,-,-,-,+,+,+,-,-,+,-,+,+,+,152187,57022,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
96,,-,+,+,+,+,+,+,-,-,-,+,+,+,-,-,+,+,-,-,-,152237,57097,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
97,,-,+,+,+,+,+,+,-,-,-,+,+,+,-,-,+,-,-,-,-,152238,57098,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
98,,-,+,+,+,-,-,-,-,-,-,+,+,+,-,-,-,-,+,+,+,152279,57148,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
99,,-,+,+,+,+,+,+,-,-,-,+,+,+,-,-,+,+,+,-,-,152286,57155,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
100,,-,+,+,+,+,+,+,-,-,-,+,-,+,-,-,+,+,-,-,-,152287,57156,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
101,,-,+,+,+,+,+,+,-,-,-,+,+,+,-,-,+,+,-,-,-,152288,57157,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
102,,-,+,+,+,+,+,+,-,-,-,+,+,+,-,-,+,-,+,+,+,152361,57246,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
103,,-,+,+,+,-,+,+,-,-,-,+,+,+,-,-,+,-,-,+,+,152362,57247,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
104,,-,+,+,+,-,+,+,-,-,-,+,+,+,-,-,+,-,+,+,+,152363,57248,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
105,,-,+,+,+,-,+,+,-,-,-,+,+,+,-,-,+,-,+,+,-,152364,57249,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
106,,-,+,+,+,-,+,+,-,-,-,+,+,+,-,-,+,-,-,+,-,152365,57250,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
107,,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,152479,57394,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
108,,-,+,+,+,+,+,+,+,-,-,+,+,+,-,-,+,-,+,+,-,152490,57405,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
109,,-,+,+,+,+,+,+,+,+,+,+,+,+,-,-,+,-,+,+,+,152595,57550,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
110,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,7671,57577,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
111,,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,7672,57578,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
112,,-,+,+,-,+,-,+,-,+,+,-,+,-,-,-,+,-,-,-,-,152666,57638,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
113,,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,153107,58196,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
114,,-,+,+,-,+,-,+,+,+,+,+,+,+,-,-,+,-,-,-,-,153115,58204,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
115,,-,+,-,-,+,+,-,-,-,-,+,+,-,-,-,+,-,+,-,-,153367,58524,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
116,,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,153426,58602,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
117,,-,+,+,+,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,153488,58684,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
118,,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,153499,58698,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
119,,-,+,+,-,+,+,-,-,-,-,+,+,+,-,-,-,-,+,-,+,153514,58715,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
120,,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,153554,58762,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
121,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,153565,58780,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
122,,-,+,+,-,+,-,+,-,-,-,-,+,+,-,-,+,-,-,-,-,153578,58801,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
123,,-,+,+,+,+,+,+,+,-,-,+,+,+,-,-,+,-,+,-,+,153661,58894,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
124,,-,+,+,+,+,+,+,-,-,-,+,-,+,-,-,+,-,+,-,-,153690,58933,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
125,,-,+,+,+,+,-,+,+,-,+,+,+,+,+,+,+,-,+,-,+,153697,58940,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
126,,-,+,+,+,+,-,+,+,-,-,-,+,+,-,-,+,-,-,-,-,153701,58944,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
127,,-,+,+,-,+,-,+,+,-,-,-,+,+,-,+,+,-,-,-,-,153702,58945,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
128,,-,+,+,+,+,+,-,+,-,-,+,-,+,-,-,+,-,-,-,+,153705,58948,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
129,,-,+,+,-,+,-,+,+,-,-,-,+,+,-,-,+,-,+,-,+,153726,58975,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
130,,-,+,+,+,+,+,+,+,-,-,+,+,+,-,-,+,-,+,+,+,134860,58994,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
131,,-,+,+,+,+,+,+,+,+,+,+,+,+,-,-,+,+,+,+,+,153733,59000,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
132,,-,+,+,+,+,+,+,-,-,-,+,+,+,-,-,+,-,+,+,+,153734,59001,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
