ID_met_production,metabolite_prod,production,excreted,chebi_ID,FK_metabolites,ID_strains,ID_reference,manual_annotation,api_import,last_change
10621,indole,0.0,,35581.0,16756,1214,23312,1,,2017-02-10 09:00:50
10622,hydrogen sulfide,0.0,,16136.0,16757,1214,23312,1,,2017-02-10 09:00:50
10623,acetoin,0.0,,15688.0,23827,1214,23312,1,,2017-02-10 09:00:50
10624,indole,0.0,,35581.0,16758,1215,23312,1,,2017-02-10 09:00:50
10625,hydrogen sulfide,0.0,,16136.0,16759,1215,23312,1,,2017-02-10 09:00:50
10626,acetoin,0.0,,15688.0,23828,1215,23312,1,,2017-02-10 09:00:50
10627,indole,0.0,,35581.0,16760,1216,23312,1,,2017-02-10 09:00:50
10628,hydrogen sulfide,0.0,,16136.0,16761,1216,23312,1,,2017-02-10 09:00:50
10629,acetoin,0.0,,15688.0,23829,1216,23312,1,,2017-02-10 09:00:50
10630,indole,0.0,,35581.0,16762,1217,23312,1,,2017-02-10 09:00:50
10631,hydrogen sulfide,0.0,,16136.0,16763,1217,23312,1,,2017-02-10 09:00:50
10632,acetoin,0.0,,15688.0,23830,1217,23312,1,,2017-02-10 09:00:50
10633,indole,0.0,,35581.0,16764,1233,23315,1,,2017-02-10 09:00:50
10634,acetoin,0.0,,15688.0,23831,1233,23315,1,,2017-02-10 09:00:50
10635,acetoin,0.0,,15688.0,23832,1239,23316,1,,2017-02-10 09:00:50
10636,indole,0.0,,35581.0,16765,1251,23318,1,,2017-02-10 09:00:50
10637,hydrogen sulfide,0.0,,16136.0,16766,1251,23318,1,,2017-02-10 09:00:50
10638,acetoin,1.0,,15688.0,23833,1251,23318,1,,2017-02-10 09:00:50
10639,indole,0.0,,35581.0,16767,1256,23319,1,,2017-02-10 09:00:50
10640,hydrogen sulfide,0.0,,16136.0,16768,1256,23319,1,,2017-02-10 09:00:50
10641,acetoin,1.0,,15688.0,23834,1256,23319,1,,2017-02-10 09:00:50
10642,acetoin,0.0,,15688.0,23835,1263,23320,1,,2017-02-10 09:00:50
10643,indole,0.0,,35581.0,23837,1323,23142,1,,2017-02-10 09:00:50
10644,acetoin,1.0,,15688.0,23836,1323,23142,1,,2017-02-10 09:00:50
10645,acetoin,0.0,,15688.0,23838,1327,22983,1,,2017-02-10 09:00:50
10646,acetoin,0.0,,15688.0,23839,1342,22983,1,,2017-02-10 09:00:50
10647,acetoin,0.0,,15688.0,23840,1343,22983,1,,2017-02-10 09:00:50
10648,indole,0.0,,35581.0,23842,1344,22984,1,,2017-02-10 09:00:50
10649,hydrogen sulfide,0.0,,16136.0,16769,1344,22984,1,,2017-02-10 09:00:50
